raw\neg_gen\time/fps,raw\neg_gen\rollout/ep_len_mean,raw\neg_gen\time/total_timesteps,raw\neg_gen\time/iterations,raw\neg_gen\rollout/ep_rew_mean,raw\neg_gen\time/time_elapsed,raw\neg_gen\train/explained_variance,raw\neg_gen\train/n_updates,raw\neg_gen\train/learning_rate,raw\neg_gen\train/entropy_loss,raw\neg_gen\train/clip_fraction,raw\neg_gen\train/value_loss,raw\neg_gen\train/policy_gradient_loss,raw\neg_gen\train/loss,raw\neg_gen\train/approx_kl,raw\neg_gen\train/clip_range
494,21.23404255319149,1000,1,21.23404255319149,2,,,,,,,,,,
977,18.3,2000,1,18.3,2,-0.06033480167388916,10,0.0003,-0.6832723524421453,0.17029296876862646,0.7125658612698317,-0.022193595994031055,-0.0022621899843215942,0.007171008,0.2
1493,15.09,3000,1,15.09,2,0.32733750343322754,20,0.0003,-0.6303257685154676,0.30023437542840836,0.21256130561232567,-0.027387368283234535,0.0603695772588253,0.025472967,0.2
2011,11.66,4000,1,11.66,1,0.7193897068500519,30,0.0003,-0.501537986844778,0.4789648446254432,0.123540821345523,-0.05583421720657498,-0.10691791027784348,0.040896744,0.2
2289,9.63,5000,1,9.63,2,0.8324505835771561,40,0.0003,-0.3538469968363643,0.17386718774214388,0.03838482726132497,-0.04520442840876058,-0.07187187671661377,0.041919008,0.2
2991,9.14,6000,1,9.14,2,0.8918983340263367,50,0.0003,-0.28233404234051707,0.05955078131519258,0.020598647790029644,-0.024164060901966877,-0.03417740389704704,0.0038293935,0.2
