raw\gen\time/total_timesteps,raw\gen\time/fps,raw\gen\rollout/ep_rew_mean,raw\gen\rollout/ep_len_mean,raw\gen\time/time_elapsed,raw\gen\time/iterations,raw\gen\train/approx_kl,raw\gen\train/explained_variance,raw\gen\train/clip_fraction,raw\gen\train/n_updates,raw\gen\train/loss,raw\gen\train/clip_range,raw\gen\train/policy_gradient_loss,raw\gen\train/value_loss,raw\gen\train/entropy_loss,raw\gen\train/learning_rate
1000,221,19.568627450980394,19.568627450980394,4,1,,,,,,,,,,
2000,518,18.21,18.21,3,1,0.013198029,-0.4320192337036133,0.13980468772351742,10,0.09005451202392578,0.2,-0.012998734008760948,0.6483343913219869,-0.6843901883810759,0.0003
3000,804,14.58,14.58,3,1,0.019280322,0.29902201890945435,0.2847460938850418,20,0.035141684114933014,0.2,-0.031639462352904955,0.18596954508684577,-0.6355408262461424,0.0003
4000,951,11.89,11.89,4,1,0.047397655,0.7435317039489746,0.44046875052154066,30,0.01798459142446518,0.2,-0.05476619836408645,0.09784295891877264,-0.4993382278829813,0.0003
5000,1386,9.72,9.72,3,1,0.10648869,0.8435264229774475,0.22166015685070306,40,-0.03176324814558029,0.2,-0.050877400615718216,0.04115587038686499,-0.29306446611881254,0.0003
6000,1636,9.04,9.04,3,1,0.05289353,0.8937311768531799,0.0718554688268341,50,-0.004855596460402012,0.2,-0.030567263535340318,0.016646952644805424,-0.13414801764301956,0.0003
7000,1810,8.73,8.73,3,1,0.008930788,0.9561022482812405,0.03298828130355105,60,0.004678401164710522,0.2,-0.0136983920372586,0.006262559512106236,-0.057703530217986555,0.0003
8000,2018,8.87,8.87,3,1,0.004205696,0.9713154155761003,0.015546875004656614,70,0.0012075756676495075,0.2,-0.005206951817626759,0.004741527406440582,-0.043033753643976526,0.0003
