raw\gen\time/total_timesteps,raw\gen\rollout/ep_rew_mean,raw\gen\time/fps,raw\gen\time/time_elapsed,raw\gen\time/iterations,raw\gen\rollout/ep_len_mean,raw\gen\train/value_loss,raw\gen\train/learning_rate,raw\gen\train/entropy_loss,raw\gen\train/n_updates,raw\gen\train/clip_range,raw\gen\train/explained_variance,raw\gen\train/loss,raw\gen\train/clip_fraction,raw\gen\train/approx_kl,raw\gen\train/policy_gradient_loss
1000,20.291666666666668,431,2,1,20.291666666666668,,,,,,,,,,
2000,25.102564102564102,987,2,1,25.102564102564102,0.7157952781766653,0.0003,-0.6829921290278435,10,0.2,-0.23784732818603516,0.02906026691198349,0.1850195314269513,0.015152307,-0.01885905418821494
3000,30.6875,1501,1,1,30.6875,0.32670016260817647,0.0003,-0.6533831063657999,20,0.2,0.25442367792129517,0.13870543241500854,0.10031250010943041,0.012779009,-0.019446067538228817
4000,36.87,2000,1,1,36.87,0.27875914368778465,0.0003,-0.6234127778559924,30,0.2,0.5607108473777771,0.04267941787838936,0.1543750001117587,0.013712182,-0.025238070741761476
5000,44.46,2436,2,1,44.46,0.27546356110833586,0.0003,-0.5907777279615403,40,0.2,0.34062761068344116,0.12477076053619385,0.13119140644557775,0.014916136,-0.01526150435092859
6000,52.06,2947,2,1,52.06,0.06526109842816367,0.0003,-0.5832555595785379,50,0.2,0.8278371691703796,0.025019437074661255,0.06802734383381903,0.0043766615,-0.008191980519768549
