mean\disc\disc_proportion_expert_pred,mean\gen\train/n_updates,mean\disc\disc_loss,mean\disc\disc_acc,mean\gen\train/loss,mean\gen\time/fps,mean\gen\time/time_elapsed,mean\disc\global_step,mean\disc\n_expert,mean\gen\train/learning_rate,mean\gen\train/explained_variance,mean\gen\train/clip_range,mean\gen\time/total_timesteps,mean\disc\n_generated,mean\gen\time/iterations,mean\disc\disc_acc_expert,mean\gen\train/entropy_loss,mean\gen\train/clip_fraction,mean\disc\disc_acc_gen,mean\gen\train/approx_kl,mean\gen\train/policy_gradient_loss,mean\disc\disc_proportion_expert_true,mean\gen\train/value_loss,mean\gen\rollout/ep_rew_mean,mean\gen\rollout/ep_len_mean,mean\gen\rollout/ep_rew_wrapped_mean
1.0,10.0,0.711711049079895,0.5,1.1676784753799438,144.0,0.0,1.0,60.0,0.0003,0.27565228939056396,0.2,50.0,60.0,1.0,1.0,-1.9450742959976197,0.0,0.0,0.007398691028356552,-0.010084664765744832,0.5,7.547880482673645,,,
1.0,20.0,0.6948573589324951,0.5,1.414106011390686,602.0,0.0,2.0,60.0,0.0003,0.025407493114471436,0.2,100.0,60.0,1.0,1.0,-1.940012800693512,0.0,0.0,-0.01834261044859886,-0.014730523832142416,0.5,3.2166725158691407,0.375,100.0,
1.0,30.0,0.6881227493286133,0.5,0.8244955539703369,955.0,0.0,3.0,60.0,0.0003,0.004557490348815918,0.2,150.0,60.0,1.0,1.0,-1.928403389453888,0.0,0.0,0.001472723437473178,-0.011125545037910457,0.5,2.6095705151557924,0.375,100.0,27.297076418995857
1.0,40.0,0.6768267154693604,0.5,1.0430654287338257,1253.0,0.0,4.0,60.0,0.0003,-0.004332780838012695,0.2,200.0,60.0,1.0,1.0,-1.9174708008766175,0.0,0.0,0.006617314647883177,-0.009722986591513915,0.5,2.9010808944702147,0.375,100.0,27.297076418995857
1.0,50.0,0.6793671250343323,0.5,2.056196451187134,1562.0,0.0,5.0,60.0,0.0003,0.01911330223083496,0.2,250.0,60.0,1.0,1.0,-1.9176366686820985,0.0,0.0,0.002500505419448018,-0.0035974697431086613,0.5,4.338745069503784,0.1875,122.0,27.297076418995857
1.0,60.0,0.6710678339004517,0.5,1.5254123210906982,1679.0,0.0,6.0,60.0,0.0003,-0.002432584762573242,0.2,300.0,60.0,1.0,1.0,-1.9224706888198853,0.0,0.0,0.006342573091387749,0.002016260079806642,0.5,3.416587734222412,0.1875,122.0,27.830599538981915
1.0,70.0,0.6574452519416809,0.5,0.08972977846860886,1732.0,0.0,7.0,60.0,0.0003,0.03145098686218262,0.2,350.0,60.0,1.0,1.0,-1.9149268507957458,0.0,0.0,-0.014214694499969482,-0.0060752576636147635,0.5,0.3281192719936371,0.1875,122.0,27.830599538981915
0.85,80.0,0.6491090655326843,0.6500000357627869,4.032381534576416,2122.0,0.0,8.0,60.0,0.0003,-0.005091190338134766,0.2,400.0,60.0,1.0,1.0,-1.9305179953575133,0.0,0.30000001192092896,-0.007892236113548279,0.0022060124382839775,0.5,8.222176551818848,0.125,129.33333333333334,27.830599538981915
0.675,90.0,0.6396806240081787,0.8250000476837158,2.5009422302246094,2777.0,0.0,9.0,60.0,0.0003,-0.005144000053405762,0.2,450.0,60.0,1.0,1.0,-1.9316091656684875,0.0,0.6500000357627869,4.985809209756553e-05,-0.0017976846774111267,0.5,6.127462911605835,0.2984375,104.25,24.43388533840577
0.6416666666666667,100.0,0.6157881021499634,0.8583333492279053,0.04959172010421753,2958.0,0.0,10.0,60.0,0.0003,0.17851686477661133,0.2,500.0,60.0,1.0,1.0,-1.9137089610099793,0.11199999898672104,0.7166666984558105,-0.02108720690011978,-0.03376795933954426,0.5,0.2193887010216713,0.2984375,104.25,18.95630351267755
