mean\neg_gen\train/approx_kl,mean\disc\disc_proportion_expert_pred,mean\neg_gen\train/learning_rate,mean\neg_gen\train/value_loss,mean\neg_gen\train/entropy_loss,mean\disc\disc_proportion_expert_true,mean\neg_gen\time/time_elapsed,mean\gen\train/approx_kl,mean\neg_gen\time/fps,mean\neg_gen\train/n_updates,mean\gen\train/loss,mean\neg_gen\train/policy_gradient_loss,mean\gen\rollout/ep_rew_mean,mean\neg_gen\train/loss,mean\neg_gen\train/explained_variance,mean\disc\disc_acc_gen,mean\gen\rollout/ep_len_mean,mean\neg_gen\time/iterations,mean\gen\time/fps,mean\disc\n_generated,mean\gen\train/n_updates,mean\neg_gen\rollout/ep_rew_mean,mean\gen\time/total_timesteps,mean\neg_gen\rollout/ep_len_mean,mean\gen\time/time_elapsed,mean\neg_gen\train/clip_fraction,mean\neg_gen\train/clip_range,mean\disc\disc_loss,mean\gen\train/explained_variance,mean\gen\train/value_loss,mean\gen\train/learning_rate,mean\disc\global_step,mean\disc\disc_acc,mean\gen\train/entropy_loss,mean\gen\train/policy_gradient_loss,mean\disc\n_expert,mean\disc\disc_acc_expert,mean\neg_gen\time/total_timesteps,mean\gen\time/iterations,mean\gen\train/clip_fraction,mean\gen\train/clip_range,mean\neg_gen\rollout/ep_rew_wrapped_mean,mean\gen\rollout/ep_rew_wrapped_mean
0.007453035097569227,0.8671875,0.0003,1.2733557653427123,-0.6851668719450633,0.5,2.0,0.01133823860436678,354.0,10.0,0.5541853904724121,-0.014506031501417358,20.695652173913043,0.07487645000219345,-0.054833054542541504,0.21875,20.695652173913043,1.0,299.0,32.0,10.0,20.804347826086957,960.0,20.804347826086957,3.0,0.1171875,0.2,0.6862924098968506,0.0046509504318237305,0.9723612361152967,0.0003,2.0,0.5859375,-0.6852860462665558,-0.01687772955124577,32.0,0.953125,960.0,1.0,0.13635416666666667,0.2,,
0.013015327043831348,0.7890625,0.0003,0.21520712782939275,-0.6350143917401632,0.5,2.0,0.01251421868801117,720.0,20.0,0.061869166791439056,-0.03292787126575907,24.189873417721518,0.06828946620225906,0.3446204662322998,0.328125,24.189873417721518,1.0,641.0,32.0,20.0,18.04,1920.0,18.04,2.0,0.35614583333333333,0.2,0.6869593262672424,0.25357723236083984,0.3304877281188965,0.0003,4.0,0.6171875,-0.6565987781683604,-0.02719423937300841,32.0,0.90625,1920.0,1.0,0.1290625,0.2,-15.271870530169943,15.05653649698133
0.06574568152427673,0.75,0.0003,0.10920927459994952,-0.5212585286299387,0.5,2.0,0.01598225347697735,1061.0,30.0,0.12706777453422546,-0.05298043186465899,27.52,0.03407442569732666,0.7528510242700577,0.28125,27.52,1.0,1114.0,32.0,30.0,15.48,2880.0,15.48,2.0,0.405625,0.2,0.6955076456069946,0.4426719546318054,0.3474996664126714,0.0003,6.0,0.53125,-0.6194784979025523,-0.027926632054150104,32.0,0.78125,2880.0,1.0,0.15135416666666668,0.2,-13.101225122213364,17.587555441675306
0.03874170035123825,0.640625,0.0003,0.0578010027607282,-0.35846202631791435,0.5,2.0,0.01897994615137577,1283.0,40.0,0.082224540412426,-0.04461651102329294,32.8,-0.008797552436590195,0.8139921724796295,0.515625,32.8,1.0,1163.0,32.0,40.0,12.22,3840.0,12.22,3.0,0.19270833333333334,0.2,0.6797689199447632,0.5813908576965332,0.2916054728627205,0.0003,8.0,0.65625,-0.5881371319293975,-0.026285946797579528,32.0,0.796875,3840.0,1.0,0.17375,0.2,-10.683752294778824,19.902114380002022
0.010163557715713978,0.671875,0.0003,0.018355095125734806,-0.28232305983702344,0.5,2.0,0.01388496533036232,1857.0,50.0,0.08051420748233795,-0.03237642787396908,39.79,-0.043570052832365036,0.8850976452231407,0.5,39.79,1.0,1896.0,32.0,50.0,9.96,4800.0,9.96,2.0,0.07989583333333333,0.2,0.6730551719665527,0.7423531115055084,0.17642791961630186,0.0003,10.0,0.671875,-0.5636894309520721,-0.01918187242622177,32.0,0.84375,4800.0,1.0,0.14552083333333332,0.2,-8.59855631828308,24.00790751159191
0.005989123601466417,0.6484375,0.0003,0.01369128688549002,-0.2076443201303482,0.5,1.0,0.010937831364572048,2948.0,60.0,0.017037421464920044,-0.016875081062316895,47.52,-0.01909761130809784,0.9269974827766418,0.390625,47.52,1.0,2581.0,32.0,60.0,9.2,5760.0,9.2,2.0,0.052083333333333336,0.2,0.6880053877830505,0.8708389848470688,0.07304121142874162,0.0003,12.0,0.5390625,-0.5684094337622324,-0.013647298589348792,32.0,0.6875,5760.0,1.0,0.08916666666666667,0.2,-6.663644674420357,28.886050750017166
0.003830504138022661,0.609375,0.0003,0.010323402443900705,-0.18500649720430373,0.5,2.0,0.00591669138520956,3109.0,70.0,0.023437311872839928,-0.01371998166044553,55.34,-0.009500636719167233,0.9476586952805519,0.671875,55.34,1.0,3125.0,32.0,70.0,9.03,6720.0,9.03,2.0,0.0496875,0.2,0.6560633182525635,0.923047810792923,0.05625625116129716,0.0003,14.0,0.78125,-0.5584450511137644,-0.009852763215700786,32.0,0.890625,6720.0,1.0,0.075625,0.2,-6.213537797927857,34.4160722643137
0.004861095920205116,0.640625,0.0003,0.010588405802845955,-0.1353820987045765,0.5,1.0,0.015381918288767338,3898.0,80.0,-0.016090482473373413,-0.01309814790263772,63.63,-0.0040553854778409,0.9451234899461269,0.625,63.63,1.0,4004.0,32.0,80.0,9.02,7680.0,9.02,1.0,0.05625,0.2,0.6572568118572235,0.9461859539151192,0.042499864002068836,0.0003,16.0,0.765625,-0.5273401749134063,-0.017827616110444068,32.0,0.90625,7680.0,1.0,0.1596875,0.2,-6.055193780064583,39.9920231962204
0.009768779389560223,0.6875,0.0003,0.00993749733393391,-0.11651034985979399,0.5,2.0,0.00945284590125084,4040.0,90.0,0.00924588367342949,-0.014095230375727017,70.95,-0.037850890308618546,0.9199456498026848,0.578125,70.95,1.0,3649.0,32.0,90.0,9.05,8640.0,9.05,2.0,0.027395833333333335,0.2,0.6599037647247314,0.8663904070854187,0.05822376720607281,0.0003,18.0,0.765625,-0.5431324195861816,-0.00585259043922027,32.0,0.953125,8640.0,1.0,0.0584375,0.2,-5.9288414239883425,45.513723500967025
0.0006257994100451469,0.7734375,0.0003,0.008353943477074304,-0.08560965426266193,0.5,2.0,0.008230332285165787,4693.0,100.0,-0.019438529387116432,-0.005485380912820498,78.08,-0.02279764972627163,0.9601480960845947,0.15625,78.08,1.0,4711.0,32.0,100.0,8.9,9600.0,8.9,2.0,0.025729166666666668,0.2,0.7018517851829529,0.8072986006736755,0.051183256233731905,0.0003,20.0,0.4296875,-0.5473349531491597,-0.008321694433689117,32.0,0.703125,9600.0,1.0,0.03229166666666667,0.2,-5.875616422891617,50.59523755818606
