raw\disc\disc_proportion_expert_pred,raw\disc\disc_loss,raw\disc\disc_acc_expert,raw\disc\n_expert,raw\disc\global_step,raw\disc\disc_entropy,raw\disc\n_generated,raw\disc\disc_acc_gen,raw\disc\disc_proportion_expert_true,raw\disc\disc_acc
0.40625,0.6896741390228271,0.5,32.0,1,-0.07271065562963486,32.0,0.6875,0.5,0.59375
0.453125,0.6918874979019165,0.53125,32.0,1,-0.03114274889230728,32.0,0.625,0.5,0.578125
