raw\disc\disc_proportion_expert_pred,raw\disc\n_expert,raw\disc\disc_acc,raw\disc\n_generated,raw\disc\disc_acc_expert,raw\disc\disc_entropy,raw\disc\disc_loss,raw\disc\disc_proportion_expert_true,raw\disc\disc_acc_gen,raw\disc\global_step
0.275,60.0,0.6916667222976685,60.0,0.46666669845581055,0.48622775077819824,0.48396384716033936,0.5,0.9166666865348816,1
0.23333333333333334,60.0,0.7166666984558105,60.0,0.45000001788139343,0.4333884119987488,0.44728323817253113,0.5,0.98333340883255,1
0.3416666666666667,60.0,0.7916666865348816,60.0,0.6333333849906921,0.4287889301776886,0.3976137042045593,0.5,0.9500000476837158,2
0.3333333333333333,60.0,0.8000000715255737,60.0,0.6333333849906921,0.40047165751457214,0.3303484320640564,0.5,0.9666666984558105,2
0.5083333333333333,60.0,0.7250000238418579,60.0,0.7333333492279053,0.5589941143989563,0.46910613775253296,0.5,0.7166666984558105,3
0.525,60.0,0.6583333611488342,60.0,0.6833333969116211,0.571414589881897,0.5075595378875732,0.5,0.6333333849906921,3
0.6,60.0,0.6833333969116211,60.0,0.7833333611488342,0.56218022108078,0.487314373254776,0.5,0.5833333730697632,4
0.5916666666666667,60.0,0.7416667342185974,60.0,0.8333333730697632,0.5428912043571472,0.4494343101978302,0.5,0.6500000357627869,4
0.625,60.0,0.7583333849906921,60.0,0.8833333849906921,0.5183385610580444,0.5169566869735718,0.5,0.6333333849906921,5
0.65,60.0,0.7500000596046448,60.0,0.9000000357627869,0.532515823841095,0.5905221700668335,0.5,0.6000000238418579,5
0.675,60.0,0.6583333611488342,60.0,0.8333333730697632,0.558893084526062,0.6035914421081543,0.5,0.4833333492279053,6
0.7083333333333334,60.0,0.6416667103767395,60.0,0.8500000238418579,0.5215657949447632,0.6085947155952454,0.5,0.4333333671092987,6
0.575,60.0,0.8583333492279053,60.0,0.9333333969116211,0.5166529417037964,0.39512649178504944,0.5,0.7833333611488342,7
0.55,60.0,0.8833333849906921,60.0,0.9333333969116211,0.5188521146774292,0.38404911756515503,0.5,0.8333333730697632,7
0.7166666666666667,60.0,0.7166666984558105,60.0,0.9333333969116211,0.48590418696403503,0.6736035943031311,0.5,0.5,8
