raw\neg_gen\time/time_elapsed,raw\neg_gen\time/fps,raw\neg_gen\time/iterations,raw\neg_gen\rollout/ep_rew_mean,raw\neg_gen\time/total_timesteps,raw\neg_gen\rollout/ep_len_mean,raw\neg_gen\train/entropy_loss,raw\neg_gen\train/loss,raw\neg_gen\train/approx_kl,raw\neg_gen\train/explained_variance,raw\neg_gen\train/n_updates,raw\neg_gen\train/clip_fraction,raw\neg_gen\train/policy_gradient_loss,raw\neg_gen\train/clip_range,raw\neg_gen\rollout/ep_rew_wrapped_mean,raw\neg_gen\train/value_loss,raw\neg_gen\train/learning_rate
2,354,1,20.804347826086957,960,20.804347826086957,,,,,,,,,,,
2,720,1,18.04,1920,18.04,-0.6851668719450633,0.07487645000219345,0.007453035,-0.054833054542541504,10,0.1171875,-0.014506031501417358,0.2,-15.271870530169943,1.2733557653427123,0.0003
2,1061,1,15.48,2880,15.48,-0.6350143917401632,0.06828946620225906,0.013015327,0.3446204662322998,20,0.35614583333333333,-0.03292787126575907,0.2,-13.101225122213364,0.21520712782939275,0.0003
2,1283,1,12.22,3840,12.22,-0.5212585286299387,0.03407442569732666,0.06574568,0.7528510242700577,30,0.405625,-0.05298043186465899,0.2,-10.683752294778824,0.10920927459994952,0.0003
2,1857,1,9.96,4800,9.96,-0.35846202631791435,-0.008797552436590195,0.0387417,0.8139921724796295,40,0.19270833333333334,-0.04461651102329294,0.2,-8.59855631828308,0.0578010027607282,0.0003
1,2948,1,9.2,5760,9.2,-0.28232305983702344,-0.043570052832365036,0.010163558,0.8850976452231407,50,0.07989583333333333,-0.03237642787396908,0.2,-6.663644674420357,0.018355095125734806,0.0003
2,3109,1,9.03,6720,9.03,-0.2076443201303482,-0.01909761130809784,0.0059891236,0.9269974827766418,60,0.052083333333333336,-0.016875081062316895,0.2,-6.213537797927857,0.01369128688549002,0.0003
1,3898,1,9.02,7680,9.02,-0.18500649720430373,-0.009500636719167233,0.0038305041,0.9476586952805519,70,0.0496875,-0.01371998166044553,0.2,-6.055193780064583,0.010323402443900705,0.0003
2,4040,1,9.05,8640,9.05,-0.1353820987045765,-0.0040553854778409,0.004861096,0.9451234899461269,80,0.05625,-0.01309814790263772,0.2,-5.9288414239883425,0.010588405802845955,0.0003
2,4693,1,8.9,9600,8.9,-0.11651034985979399,-0.037850890308618546,0.009768779,0.9199456498026848,90,0.027395833333333335,-0.014095230375727017,0.2,-5.875616422891617,0.00993749733393391,0.0003
2,4901,1,9.02,10560,9.02,-0.08560965426266193,-0.02279764972627163,0.0006257994,0.9601480960845947,100,0.025729166666666668,-0.005485380912820498,0.2,-5.657092373371125,0.008353943477074304,0.0003
2,5735,1,8.89,11520,8.89,-0.059815699147681395,0.008896499872207642,0.0041911695,0.9695793222635984,110,0.022291666666666668,-0.009880290639897187,0.2,-5.68365636408329,0.0064804837914804615,0.0003
2,6121,1,8.83,12480,8.83,-0.03837175420174996,-0.012478766962885857,0.006377607,0.9732759315520525,120,0.0178125,-0.009379546176642179,0.2,-5.56655382335186,0.0058715503724912806,0.0003
1,6754,1,9.08,13440,9.08,-0.03808593469361464,0.0007000473560765386,0.0070821107,0.9806296303868294,130,0.016458333333333332,-0.006096800869951646,0.2,-5.504592106044292,0.004507969813421369,0.0003
2,7133,1,9.01,14400,9.01,-0.04283372209096948,0.024046020582318306,0.0023473212,0.9278313741087914,140,0.013229166666666667,-0.0035770392045378686,0.2,-5.560402313768864,0.016233861482081315,0.0003
2,7651,1,8.94,15360,8.94,-0.03905035735418399,-0.006171729881316423,0.0014370886,0.9616336934268475,150,0.017916666666666668,-0.006673514445622762,0.2,-5.544725392460823,0.006622384451329708,0.0003
2,7675,1,8.93,16320,8.93,-0.029576568172002833,-0.015128640457987785,0.0023185562,0.980431767180562,160,0.011979166666666667,-0.00608196172863245,0.2,-5.505229369103908,0.005034408660915991,0.0003
2,8345,1,8.94,17280,8.94,-0.02495752145225803,-0.0044438522309064865,0.0012445548,0.9800361208617687,170,0.005625,-0.0015250631080319483,0.2,-5.490510539412498,0.005541516244411468,0.0003
1,9383,1,8.89,18240,8.89,-0.028328247528212766,0.00698621291667223,0.0041266745,0.9799692314118147,180,0.0069791666666666665,-0.0061931270795563854,0.2,-5.613948219418526,0.005675855261894564,0.0003
2,8703,1,8.88,19200,8.88,-0.025357204518901805,-0.005344625562429428,0.0028575996,0.9814683087170124,190,0.0071875,-0.005456446874886751,0.2,-5.613115748167038,0.005538186873309314,0.0003
1,10132,1,8.96,20160,8.96,-0.02797487992482881,0.003954190295189619,0.00047770454,0.9859568001702428,200,0.006875,-0.002652523207167784,0.2,-5.638403352200985,0.004506560556280116,0.0003
1,10614,1,8.88,21120,8.88,-0.027983709337810674,0.006860031746327877,0.0027393391,0.976622961461544,210,0.007604166666666667,-0.0020601812625924746,0.2,-5.707394269704818,0.00803100791449348,0.0003
2,10517,1,8.77,22080,8.77,-0.024103909911743056,0.040410082787275314,0.0120728975,0.9719247035682201,220,0.0209375,-0.00924930935104688,0.2,-5.682825344800949,0.009920827875224253,0.0003
2,10734,1,8.77,23040,8.77,-0.02727288699087997,-0.014326116070151329,0.0026454404,0.9704618845134974,230,0.009791666666666667,-0.0039606404428680735,0.2,-5.639479929804802,0.009835541976305345,0.0003
2,11913,1,8.81,24000,8.81,-0.02315781624832501,0.0038515988271683455,0.0006657455,0.9775711968541145,240,0.009375,-0.003798049474135041,0.2,-5.642962491512298,0.0048491651083653175,0.0003
1,12551,1,8.78,24960,8.78,-0.022391108352070054,-0.006559787783771753,0.009204428,0.9872696464881301,250,0.01875,-0.00596042479077975,0.2,-5.641263710856438,0.004562827325426042,0.0003
2,11012,1,8.81,25920,8.81,-0.01785718854671965,0.0020308448001742363,0.0016170687,0.9819564539939165,260,0.006666666666666667,-0.003978669966260592,0.2,-5.593661894202232,0.006323428923885027,0.0003
2,11894,1,8.75,26880,8.75,-0.02255275299306959,-0.008715820498764515,0.020039301,0.9563594050705433,270,0.0184375,-0.01015722621853153,0.2,-5.579563544988632,0.007614581870536009,0.0003
2,13223,1,8.74,27840,8.74,-0.01830159123831739,-0.00011881208047270775,-0.00038426524,0.9637001790106297,280,0.0017708333333333332,-0.000860049497957031,0.2,-5.461172931194305,0.010605403554315369,0.0003
2,14162,1,8.83,28800,8.83,-0.014235577244932452,0.0012686450500041246,0.0125527335,0.9894686220213771,290,0.011979166666666667,-0.0060233053689201675,0.2,-5.421417546868324,0.004104410959407687,0.0003
2,14706,1,8.76,29760,8.76,-0.016042817242948027,-0.0010777213610708714,0.00069083326,0.9802515879273415,300,0.0009375,-0.0008341289249559243,0.2,-5.35852622538805,0.0061288222996518016,0.0003
2,15173,1,8.77,30720,8.77,-0.01616194190486567,0.0016407095827162266,0.0008592066,0.9909741198644042,310,0.004479166666666667,-0.0007613951091965039,0.2,-5.271857236921787,0.0031209856760688126,0.0003
1,15874,1,8.82,31680,8.82,-0.014380468383315019,0.0013422038173303008,0.0012627321,0.9825387746095657,320,0.003958333333333334,-0.0009876815478006998,0.2,-5.204284970760345,0.006783809985499829,0.0003
2,16090,1,8.75,32640,8.75,-0.013558373779960674,0.005016781855374575,0.0013357562,0.9874467151239514,330,0.001979166666666667,-0.0016137255852421125,0.2,-5.15796218663454,0.003949692362609009,0.0003
2,16058,1,8.75,33600,8.75,-0.014892536311381264,0.0023530027829110622,0.001001365,0.9862583754584193,340,0.0016666666666666668,-0.0007166453388830026,0.2,-5.03736406981945,0.004969244859336565,0.0003
