raw\gen\time/fps,raw\gen\time/iterations,raw\gen\rollout/ep_len_mean,raw\gen\time/time_elapsed,raw\gen\time/total_timesteps,raw\gen\rollout/ep_rew_mean,raw\gen\train/n_updates,raw\gen\train/approx_kl,raw\gen\train/policy_gradient_loss,raw\gen\train/entropy_loss,raw\gen\rollout/ep_rew_wrapped_mean,raw\gen\train/explained_variance,raw\gen\train/clip_fraction,raw\gen\train/clip_range,raw\gen\train/value_loss,raw\gen\train/loss,raw\gen\train/learning_rate
457,1,22.0,0,50,0.8625,,,,,,,,,,,
1066,1,22.0,0,100,0.8625,10,0.013118834,-0.009833535868673948,-1.944819736480713,2.6150791123509407,0.11784988641738892,0.0,0.2,0.4555480986833572,0.06353932619094849,0.0003
1200,1,73.5,0,150,0.540625,20,0.010197251,-0.009929724640213067,-1.9371230840682983,2.6150791123509407,0.16821026802062988,0.0,0.2,0.15708185620605947,0.018496137112379074,0.0003
1828,1,73.5,0,200,0.540625,30,0.01490083,-0.01804572619823741,-1.9258792638778686,1.3610849955584854,-0.9929707050323486,0.0,0.2,0.08065745793282986,-0.016178883612155914,0.0003
2000,1,73.5,0,250,0.540625,40,-0.025131669,-0.016962515376741073,-1.9203656673431397,1.3610849955584854,-0.19602227210998535,0.01800000071525574,0.2,0.04864238537847996,-0.023662064224481583,0.0003
2400,1,97.0,0,300,0.36041666666666666,50,0.00019215346,-0.0005835459228182849,-1.9170462965965271,1.3610849955584854,-0.047039151191711426,0.0,0.2,2.9017826795578,0.5734012722969055,0.0003
2489,1,97.0,0,350,0.36041666666666666,60,0.0044777966,-0.00856619704887258,-1.9116266012191772,-4.213124735436092,-0.008273482322692871,0.0,0.2,1.5578138470649718,0.611079216003418,0.0003
4267,1,97.0,0,400,0.36041666666666666,70,-0.004520035,-0.0009345023022618193,-1.9045821905136109,-4.213124735436092,0.02298593521118164,0.0,0.2,5.931852960586548,2.136734962463379,0.0003
4116,1,90.0,0,450,0.3975,80,-0.003325293,-0.004887454020499682,-1.8950202822685243,-4.213124735436092,0.01606220006942749,0.0,0.2,2.313075804710388,1.0417416095733643,0.0003
4572,1,77.0,0,500,0.48541666666666666,90,0.0010691142,-0.005082876775646561,-1.868673610687256,-4.4706489782780405,0.05760622024536133,0.0,0.2,4.285026979446411,2.0404562950134277,0.0003
5029,1,77.0,0,550,0.48541666666666666,100,-0.008375788,-0.0038584279015193347,-1.8492967128753661,-4.305686432557802,-0.09994816780090332,0.0,0.2,2.3635765433311464,0.9615631103515625,0.0003
6488,1,77.0,0,600,0.48541666666666666,110,-0.0062418366,-0.005137183930025912,-1.8483079075813293,-4.305686432557802,0.10857170820236206,0.0,0.2,6.3102141380310055,2.7431297302246094,0.0003
6934,1,86.57142857142857,0,650,0.4160714285714286,120,-0.0033300377,-0.004091742424294331,-1.8440319895744324,-4.305686432557802,0.2368674874305725,0.0,0.2,0.7971541672945023,0.16909494996070862,0.0003
5601,1,86.57142857142857,0,700,0.4160714285714286,130,0.0037333607,-0.002389154751319467,-1.8358125686645508,-3.081451351238814,0.11470907926559448,0.0,0.2,22.82777328491211,10.327603340148926,0.0003
6003,1,89.875,0,750,0.40078125,140,-0.003817072,-0.0017486983756825226,-1.8235560774803161,-3.081451351238814,-0.004025459289550781,0.0,0.2,10.286276149749757,3.926527738571167,0.0003
7316,1,89.875,0,800,0.40078125,150,-0.03298016,-0.009854672887362526,-1.805075430870056,-7.007148159449571,0.0012049078941345215,0.0,0.2,2.943557119369507,1.4173144102096558,0.0003
7773,1,89.875,0,850,0.40078125,160,0.009911997,-0.0005837600445374846,-1.719240963459015,-7.007148159449571,0.05226457118988037,0.0,0.2,7.446727275848389,3.0905563831329346,0.0003
