raw\gen\time/time_elapsed,raw\gen\rollout/ep_rew_mean,raw\gen\rollout/ep_len_mean,raw\gen\time/iterations,raw\gen\time/total_timesteps,raw\gen\time/fps,raw\gen\train/approx_kl,raw\gen\train/clip_fraction,raw\gen\train/policy_gradient_loss,raw\gen\train/n_updates,raw\gen\rollout/ep_rew_wrapped_mean,raw\gen\train/loss,raw\gen\train/value_loss,raw\gen\train/entropy_loss,raw\gen\train/explained_variance,raw\gen\train/clip_range,raw\gen\train/learning_rate
1,219.06,219.06,1,35520,17969,0.004396862,0.07770833333333334,-0.0037325107182065646,360,176.99718743890523,-0.01153041422367096,0.053304357215141256,-0.49563611964384713,0.806652843952179,0.2,0.0003
1,220.77,220.77,1,36480,18873,0.011545944,0.15927083333333333,-0.00843295115356644,370,182.39325765758753,-0.002413686364889145,0.10110411457406977,-0.47705125927925107,0.36449098587036133,0.2,0.0003
2,222.09,222.09,1,37440,17196,0.0033487077,0.0284375,-0.0005417885941763719,380,186.07344929486513,0.004401013255119324,0.08929667704428236,-0.454911833802859,0.12847900390625,0.2,0.0003
2,225.61,225.61,1,38400,18076,0.009006646,0.06510416666666667,-0.004912219885736704,390,189.71705619603395,0.0005421210080385208,0.064917290546,-0.44756985942522687,0.4080336093902588,0.2,0.0003
2,226.84,226.84,1,39360,16568,0.0014939838,0.05875,-0.00455086326226592,400,194.78657507836817,0.029259093105793,0.04746143595625957,-0.47091462433338166,0.7798538506031036,0.2,0.0003
2,230.18,230.18,1,40320,17786,0.0006555033,0.07354166666666667,-0.0062195414335777365,410,197.02913550913334,-0.001956581138074398,0.0405442530180638,-0.5042330817381541,0.8968008011579514,0.2,0.0003
2,233.76,233.76,1,41280,18960,0.009002433,0.0775,-0.004838169906288385,420,201.15793689846993,0.0042226891964674,0.049651692428936564,-0.49789123396078744,0.8776362761855125,0.2,0.0003
2,239.42,239.42,1,42240,20560,0.0060902336,0.025104166666666667,-0.0014494231715798378,430,205.2004860126972,0.01919219084084034,0.030841517130223414,-0.5037926491101583,0.9291313886642456,0.2,0.0003
1,244.95,244.95,1,43200,22666,0.00521173,0.04625,-0.00862005521543324,440,209.52626442804933,0.006827535107731819,0.03315105539746582,-0.4948215526342392,0.8737564533948898,0.2,0.0003
1,248.54,248.54,1,44160,22811,0.0003868805,0.01,-0.0023395784633855024,450,211.95294926464558,-0.006574183702468872,0.02792969622028371,-0.4933104908466339,0.9599636867642403,0.2,0.0003
2,250.12,250.12,1,45120,19982,-0.00020103069,0.029583333333333333,-0.0023294854288299876,460,213.54002422332763,0.02185126580297947,0.027450833576731382,-0.4995570127169291,0.9203048795461655,0.2,0.0003
1,253.14,253.14,1,46080,24164,0.014473938,0.0940625,-0.010516367020706336,470,215.33762589007617,-0.022773273289203644,0.022205599481239915,-0.4635593702395757,0.9654193706810474,0.2,0.0003
1,255.06,255.06,1,47040,24514,0.0154851135,0.08166666666666667,-0.005573315372069677,480,217.75577122822403,-0.0030158585868775845,0.03745329363116374,-0.46807733178138733,0.9281697198748589,0.2,0.0003
2,258.48,258.48,1,48000,22918,0.0020747555,0.009583333333333333,-0.00021993824591239294,490,220.07823596224188,0.005865028593689203,0.03975582003903886,-0.4344015606244405,0.8701654225587845,0.2,0.0003
1,263.39,263.39,1,48960,25356,0.003577799,0.03333333333333333,-0.0015428044895331066,500,223.9490516717732,0.01951012760400772,0.044046984009134274,-0.4284742174545924,0.8378012329339981,0.2,0.0003
1,266.64,266.64,1,49920,25668,0.0044589355,0.011354166666666667,-0.0017259757251789172,510,227.88864910826086,0.044695448130369186,0.034618343794718384,-0.4205024866263072,0.8980916291475296,0.2,0.0003
2,269.91,269.91,1,50880,22815,0.007835867,0.03989583333333333,-0.005002710398597022,520,231.02345315769315,0.01735658571124077,0.02218630861180524,-0.4138139230012894,0.9428242594003677,0.2,0.0003
2,273.2,273.2,1,51840,21872,0.0024477516,0.0284375,-0.004478431946287552,530,234.21538454040885,0.021122466772794724,0.029852100390320022,-0.4078890913724899,0.909113921225071,0.2,0.0003
2,274.68,274.68,1,52800,25300,0.012303073,0.055625,-0.004483462354789178,540,237.33681910201906,0.021169431507587433,0.026808011095660427,-0.3541907689968745,0.9234675839543343,0.2,0.0003
2,276.44,276.44,1,53760,26406,0.00478119,0.02875,-0.0025211037198702496,550,238.93582953959702,0.012496649287641048,0.028037352940688532,-0.3750497567653656,0.9304461106657982,0.2,0.0003
1,279.69,279.69,1,54720,27704,0.0021818152,0.043645833333333335,-0.0019439961047222217,560,239.74146576166152,0.0013917600736021996,0.012464466988264273,-0.39150662779808043,0.973699240013957,0.2,0.0003
2,283.09,283.09,1,55680,27539,-0.0024833337,0.03145833333333333,-0.0004275570126871268,570,241.92065950863062,-0.008141547441482544,0.016095552868985882,-0.40385872761408487,0.9653678461909294,0.2,0.0003
1,286.32,286.32,1,56640,28420,0.0075629386,0.07135416666666666,-0.007052128811677297,580,244.15263989187778,-0.007795820478349924,0.012738055441295727,-0.4190112354358037,0.9831903092563152,0.2,0.0003
2,288.43,288.43,1,57600,28191,0.012569603,0.06635416666666667,-0.0046264022278289,590,245.9597929905355,0.0013243579305708408,0.012559397110405067,-0.3961579610904058,0.9817782547324896,0.2,0.0003
1,290.1,290.1,1,58560,29779,0.025508981,0.13697916666666668,-0.006692515953133504,600,245.60172757789493,-0.004108414053916931,0.002565368133364245,-0.4014433310429255,0.9951205574907362,0.2,0.0003
2,293.29,293.29,1,59520,28474,0.00787422,0.05229166666666667,-0.006938536241650581,610,246.1097997108102,-0.020677581429481506,0.004094580093127054,-0.39234120388825733,0.9947848040610552,0.2,0.0003
1,294.46,294.46,1,60480,30422,0.01602484,0.100625,-0.008194394546250502,620,247.4527131813392,-0.003074504202231765,0.0046835371188353745,-0.35911256849765777,0.9852053886279464,0.2,0.0003
