raw\disc\n_expert,raw\disc\disc_loss,raw\disc\disc_proportion_expert_true,raw\disc\disc_acc_gen,raw\disc\n_generated,raw\disc\global_step,raw\disc\disc_proportion_expert_pred,raw\disc\disc_acc_expert,raw\disc\disc_acc
32.0,0.6929934620857239,0.5,0.78125,32.0,2,0.109375,0.0,0.390625
32.0,0.6882935762405396,0.5,0.875,32.0,2,0.0625,0.0,0.4375
32.0,0.6851608157157898,0.5,0.90625,32.0,4,0.046875,0.0,0.453125
32.0,0.6887714862823486,0.5,0.875,32.0,4,0.0625,0.0,0.4375
32.0,0.6888329386711121,0.5,0.84375,32.0,6,0.09375,0.03125,0.4375
32.0,0.6932269334793091,0.5,0.8125,32.0,6,0.09375,0.0,0.40625
32.0,0.6932380199432373,0.5,0.75,32.0,8,0.125,0.0,0.375
32.0,0.6910159587860107,0.5,0.90625,32.0,8,0.046875,0.0,0.453125
