raw\disc\n_generated,raw\disc\global_step,raw\disc\n_expert,raw\disc\disc_acc_expert,raw\disc\disc_acc_gen,raw\disc\disc_loss,raw\disc\disc_proportion_expert_pred,raw\disc\disc_acc,raw\disc\disc_proportion_expert_true
60.0,1,60.0,1.0,0.0,0.6944987177848816,1.0,0.5,0.5
60.0,2,60.0,1.0,0.0,0.6855597496032715,1.0,0.5,0.5
60.0,3,60.0,0.9333333969116211,0.21666668355464935,0.6881114840507507,0.8583333333333333,0.5750000476837158,0.5
60.0,4,60.0,0.8833333849906921,0.15000000596046448,0.6856575608253479,0.8666666666666667,0.5166667103767395,0.5
60.0,5,60.0,0.6500000357627869,0.5166667103767395,0.6885892748832703,0.5666666666666667,0.5833333730697632,0.5
60.0,6,60.0,0.6333333849906921,0.6666666865348816,0.6859359741210938,0.48333333333333334,0.6500000357627869,0.5
60.0,7,60.0,0.7000000476837158,0.4833333492279053,0.6867307424545288,0.6083333333333333,0.5916666984558105,0.5
60.0,8,60.0,0.6666666865348816,0.5833333730697632,0.6860146522521973,0.5416666666666666,0.6250000596046448,0.5
60.0,9,60.0,0.7000000476837158,0.6666666865348816,0.6733525991439819,0.5166666666666667,0.6833333969116211,0.5
60.0,10,60.0,0.8166667222976685,0.8333333730697632,0.659469723701477,0.49166666666666664,0.8250000476837158,0.5
60.0,11,60.0,0.9000000357627869,0.46666669845581055,0.6738550066947937,0.7166666666666667,0.6833333969116211,0.5
60.0,12,60.0,0.7000000476837158,0.15000000596046448,0.7065303325653076,0.775,0.42500001192092896,0.5
60.0,13,60.0,0.7333333492279053,0.25,0.6942604184150696,0.7416666666666667,0.491666704416275,0.5
60.0,14,60.0,0.6833333969116211,0.5833333730697632,0.6923145651817322,0.55,0.6333333849906921,0.5
60.0,15,60.0,0.38333335518836975,0.8500000238418579,0.6865893602371216,0.26666666666666666,0.6166666746139526,0.5
60.0,16,60.0,0.28333336114883423,0.9166666865348816,0.6885662078857422,0.18333333333333332,0.6000000238418579,0.5
60.0,17,60.0,0.1666666716337204,1.0,0.6910620331764221,0.08333333333333333,0.5833333730697632,0.5
60.0,18,60.0,0.3333333432674408,0.8166667222976685,0.6857026815414429,0.25833333333333336,0.5750000476837158,0.5
60.0,19,60.0,0.30000001192092896,0.7000000476837158,0.6892777681350708,0.3,0.5,0.5
60.0,20,60.0,0.45000001788139343,0.7833333611488342,0.6879513263702393,0.3333333333333333,0.6166666746139526,0.5
60.0,21,60.0,0.7333333492279053,0.550000011920929,0.6791003346443176,0.5916666666666667,0.6416667103767395,0.5
60.0,22,60.0,0.7000000476837158,0.6000000238418579,0.648578405380249,0.55,0.6500000357627869,0.5
60.0,23,60.0,0.7500000596046448,0.7000000476837158,0.6494666934013367,0.525,0.7250000238418579,0.5
60.0,24,60.0,0.7000000476837158,0.5666667222976685,0.669715940952301,0.5666666666666667,0.6333333849906921,0.5
60.0,25,60.0,0.8166667222976685,0.45000001788139343,0.6793383359909058,0.6833333333333333,0.6333333849906921,0.5
60.0,26,60.0,0.8000000715255737,0.31666669249534607,0.6764466762542725,0.7416666666666667,0.5583333373069763,0.5
60.0,27,60.0,0.7333333492279053,0.3500000238418579,0.6787438988685608,0.6916666666666667,0.5416666865348816,0.5
60.0,28,60.0,0.6000000238418579,0.7166666984558105,0.6451192498207092,0.44166666666666665,0.6583333611488342,0.5
60.0,29,60.0,0.6333333849906921,0.38333335518836975,0.6925859451293945,0.625,0.5083333849906921,0.5
60.0,30,60.0,0.46666669845581055,0.6000000238418579,0.6897406578063965,0.43333333333333335,0.5333333611488342,0.5
60.0,31,60.0,0.4166666865348816,0.6166666746139526,0.6897968649864197,0.4,0.5166667103767395,0.5
60.0,32,60.0,0.38333335518836975,0.7833333611488342,0.681308388710022,0.3,0.5833333730697632,0.5
60.0,33,60.0,0.4833333492279053,0.6833333969116211,0.6759539842605591,0.4,0.5833333730697632,0.5
60.0,34,60.0,0.46666669845581055,0.8000000715255737,0.6892074346542358,0.3333333333333333,0.6333333849906921,0.5
60.0,35,60.0,0.36666667461395264,0.7833333611488342,0.680953323841095,0.2916666666666667,0.5750000476837158,0.5
60.0,36,60.0,0.45000001788139343,0.6833333969116211,0.6654641032218933,0.38333333333333336,0.5666667222976685,0.5
60.0,37,60.0,0.3500000238418579,0.38333335518836975,0.7209026217460632,0.48333333333333334,0.36666667461395264,0.5
60.0,38,60.0,0.6500000357627869,0.5,0.6895014643669128,0.575,0.5750000476837158,0.5
60.0,39,60.0,0.6666666865348816,0.38333335518836975,0.6975477337837219,0.6416666666666667,0.5250000357627869,0.5
60.0,40,60.0,0.6166666746139526,0.5666667222976685,0.6855159401893616,0.525,0.5916666984558105,0.5
60.0,41,60.0,0.5166667103767395,0.550000011920929,0.7038788199424744,0.48333333333333334,0.5333333611488342,0.5
60.0,42,60.0,0.4833333492279053,0.6166666746139526,0.6716539263725281,0.43333333333333335,0.550000011920929,0.5
60.0,43,60.0,0.5,0.28333336114883423,0.7250399589538574,0.6083333333333333,0.3916666805744171,0.5
60.0,44,60.0,0.46666669845581055,0.7000000476837158,0.6714735627174377,0.38333333333333336,0.5833333730697632,0.5
60.0,45,60.0,0.46666669845581055,0.6000000238418579,0.6867514848709106,0.43333333333333335,0.5333333611488342,0.5
60.0,46,60.0,0.550000011920929,0.4166666865348816,0.6919683218002319,0.5666666666666667,0.4833333492279053,0.5
60.0,47,60.0,0.4166666865348816,0.7333333492279053,0.6769679188728333,0.3416666666666667,0.5750000476837158,0.5
60.0,48,60.0,0.5333333611488342,0.6333333849906921,0.6813505291938782,0.45,0.5833333730697632,0.5
60.0,49,60.0,0.5,0.8000000715255737,0.6668579578399658,0.35,0.6500000357627869,0.5
60.0,50,60.0,0.5833333730697632,0.23333334922790527,0.7052629590034485,0.675,0.40833336114883423,0.5
60.0,51,60.0,0.7166666984558105,0.5333333611488342,0.6638149619102478,0.5916666666666667,0.6250000596046448,0.5
