raw\disc\n_expert,raw\disc\disc_acc_gen,raw\disc\disc_proportion_expert_true,raw\disc\disc_proportion_expert_pred,raw\disc\disc_acc_expert,raw\disc\n_generated,raw\disc\disc_acc,raw\disc\global_step,raw\disc\disc_loss
10.0,0.0,0.5,1.0,1.0,10.0,0.5,1,0.6956887245178223
10.0,0.0,0.5,1.0,1.0,10.0,0.5,2,0.697238028049469
10.0,0.0,0.5,1.0,1.0,10.0,0.5,3,0.6947521567344666
