raw\disc\disc_proportion_expert_pred,raw\disc\n_generated,raw\disc\disc_acc_gen,raw\disc\n_expert,raw\disc\disc_proportion_expert_true,raw\disc\disc_loss,raw\disc\disc_acc_expert,raw\disc\global_step,raw\disc\disc_acc
1.0,60.0,0.0,60.0,0.5,0.6932696104049683,1.0,1,0.5
0.4166666666666667,60.0,0.800000011920929,60.0,0.5,0.6863864064216614,0.6333333253860474,1,0.7166666388511658
0.275,60.0,0.800000011920929,60.0,0.5,0.6880354285240173,0.3499999940395355,2,0.574999988079071
0.43333333333333335,60.0,0.8166666626930237,60.0,0.5,0.680374801158905,0.6833333373069763,2,0.75
0.4083333333333333,60.0,0.75,60.0,0.5,0.6792311072349548,0.5666666626930237,3,0.6583333611488342
0.43333333333333335,60.0,0.8666666746139526,60.0,0.5,0.6647743582725525,0.7333333492279053,3,0.800000011920929
0.5,60.0,0.550000011920929,60.0,0.5,0.67759770154953,0.550000011920929,4,0.550000011920929
0.36666666666666664,60.0,0.7833333611488342,60.0,0.5,0.6721392273902893,0.5166666507720947,4,0.6499999761581421
0.20833333333333334,60.0,0.9166666865348816,60.0,0.5,0.6671303510665894,0.3333333432674408,5,0.625
0.23333333333333334,60.0,0.9666666388511658,60.0,0.5,0.6557582020759583,0.4333333373069763,5,0.699999988079071
0.4083333333333333,60.0,0.7833333611488342,60.0,0.5,0.6511819958686829,0.6000000238418579,6,0.6916666626930237
0.49166666666666664,60.0,0.6666666865348816,60.0,0.5,0.6470073461532593,0.6499999761581421,6,0.6583333611488342
0.5166666666666667,60.0,0.5666666626930237,60.0,0.5,0.6993235349655151,0.6000000238418579,7,0.5833333134651184
0.625,60.0,0.4000000059604645,60.0,0.5,0.6947906613349915,0.6499999761581421,7,0.5249999761581421
0.44166666666666665,60.0,0.5166666507720947,60.0,0.5,0.7023059725761414,0.4000000059604645,8,0.4583333432674408
0.39166666666666666,60.0,0.6666666865348816,60.0,0.5,0.6586794257164001,0.44999998807907104,8,0.5583333373069763
0.375,60.0,0.6666666865348816,60.0,0.5,0.6631835699081421,0.4166666567325592,9,0.5416666865348816
0.26666666666666666,60.0,0.7166666388511658,60.0,0.5,0.6785041093826294,0.25,9,0.4833333194255829
0.3,60.0,0.8833333253860474,60.0,0.5,0.6466460824012756,0.4833333194255829,10,0.6833333373069763
0.425,60.0,0.9166666865348816,60.0,0.5,0.6031330227851868,0.7666666507720947,10,0.8416666388511658
0.7083333333333334,60.0,0.4333333373069763,60.0,0.5,0.6587539911270142,0.8500000238418579,11,0.6416666507720947
0.6333333333333333,60.0,0.4166666567325592,60.0,0.5,0.6547228097915649,0.6833333373069763,11,0.550000011920929
0.5666666666666667,60.0,0.3499999940395355,60.0,0.5,0.6861698627471924,0.4833333194255829,12,0.4166666567325592
0.35,60.0,0.8333333134651184,60.0,0.5,0.6575343012809753,0.5333333611488342,12,0.6833333373069763
0.375,60.0,0.7333333492279053,60.0,0.5,0.6243398785591125,0.4833333194255829,13,0.6083333492279053
0.3,60.0,0.7666666507720947,60.0,0.5,0.6432813405990601,0.36666667461395264,13,0.5666666626930237
0.35833333333333334,60.0,0.7166666388511658,60.0,0.5,0.6464630365371704,0.4333333373069763,14,0.574999988079071
0.39166666666666666,60.0,0.75,60.0,0.5,0.6237172484397888,0.5333333611488342,14,0.6416666507720947
0.4583333333333333,60.0,0.75,60.0,0.5,0.5893656611442566,0.6666666865348816,15,0.7083333134651184
0.6083333333333333,60.0,0.6166666746139526,60.0,0.5,0.5926505327224731,0.8333333134651184,15,0.7250000238418579
0.6333333333333333,60.0,0.5833333134651184,60.0,0.5,0.677801787853241,0.8500000238418579,16,0.7166666388511658
0.4666666666666667,60.0,0.6833333373069763,60.0,0.5,0.6710163354873657,0.6166666746139526,16,0.6499999761581421
0.2916666666666667,60.0,1.0,60.0,0.5,0.553894579410553,0.5833333134651184,17,0.7916666865348816
0.275,60.0,1.0,60.0,0.5,0.5367558598518372,0.550000011920929,17,0.7749999761581421
0.3416666666666667,60.0,0.9166666865348816,60.0,0.5,0.5532811284065247,0.6000000238418579,18,0.7583333253860474
0.38333333333333336,60.0,0.7833333611488342,60.0,0.5,0.5562402606010437,0.550000011920929,18,0.6666666865348816
0.6666666666666666,60.0,0.2666666805744171,60.0,0.5,0.7784960865974426,0.6000000238418579,19,0.4333333373069763
0.65,60.0,0.2666666805744171,60.0,0.5,0.7934173345565796,0.5666666626930237,19,0.4166666567325592
0.4166666666666667,60.0,0.6499999761581421,60.0,0.5,0.6504835486412048,0.4833333194255829,20,0.5666666626930237
0.4666666666666667,60.0,0.699999988079071,60.0,0.5,0.6130706071853638,0.6333333253860474,20,0.6666666865348816
