raw\disc\disc_proportion_expert_pred,raw\disc\disc_loss,raw\disc\disc_acc_gen,raw\disc\n_expert,raw\disc\disc_proportion_expert_true,raw\disc\disc_acc_expert,raw\disc\global_step,raw\disc\n_generated,raw\disc\disc_acc
1.0,0.6968382000923157,0.0,60.0,0.5,1.0,1,60.0,0.5
0.7,0.6861627697944641,0.36666667461395264,60.0,0.5,0.7666666507720947,1,60.0,0.5666666626930237
0.325,0.6859638690948486,0.800000011920929,60.0,0.5,0.44999998807907104,1,60.0,0.625
0.4,0.680517315864563,0.75,60.0,0.5,0.550000011920929,1,60.0,0.6499999761581421
0.45,0.6655256748199463,0.699999988079071,60.0,0.5,0.6000000238418579,1,60.0,0.6499999761581421
0.5166666666666667,0.6848114132881165,0.5833333134651184,60.0,0.5,0.6166666746139526,2,60.0,0.6000000238418579
0.35833333333333334,0.6836029291152954,0.6833333373069763,60.0,0.5,0.4000000059604645,2,60.0,0.5416666865348816
0.5083333333333333,0.6696634888648987,0.5833333134651184,60.0,0.5,0.6000000238418579,2,60.0,0.5916666388511658
0.5,0.6560651063919067,0.5833333134651184,60.0,0.5,0.5833333134651184,2,60.0,0.5833333134651184
0.5333333333333333,0.6599075198173523,0.5666666626930237,60.0,0.5,0.6333333253860474,2,60.0,0.6000000238418579
0.38333333333333336,0.6082719564437866,0.8333333134651184,60.0,0.5,0.6000000238418579,3,60.0,0.7166666388511658
0.4166666666666667,0.6140824556350708,0.8333333134651184,60.0,0.5,0.6666666865348816,3,60.0,0.75
0.5666666666666667,0.6083646416664124,0.6166666746139526,60.0,0.5,0.75,3,60.0,0.6833333373069763
0.35,0.5656260848045349,0.9166666865348816,60.0,0.5,0.6166666746139526,3,60.0,0.7666666507720947
0.43333333333333335,0.553146481513977,0.8166666626930237,60.0,0.5,0.6833333373069763,3,60.0,0.75
0.6,0.6300116181373596,0.5666666626930237,60.0,0.5,0.7666666507720947,4,60.0,0.6666666865348816
0.425,0.6207302808761597,0.699999988079071,60.0,0.5,0.550000011920929,4,60.0,0.625
0.48333333333333334,0.6046567559242249,0.6333333253860474,60.0,0.5,0.6000000238418579,4,60.0,0.6166666746139526
0.5166666666666667,0.5611898899078369,0.6499999761581421,60.0,0.5,0.6833333373069763,4,60.0,0.6666666865348816
0.5666666666666667,0.5542485117912292,0.6333333253860474,60.0,0.5,0.7666666507720947,4,60.0,0.699999988079071
0.6916666666666667,0.6383374333381653,0.3499999940395355,60.0,0.5,0.7333333492279053,5,60.0,0.5416666865348816
0.4083333333333333,0.6754239797592163,0.7166666388511658,60.0,0.5,0.5333333611488342,5,60.0,0.625
0.21666666666666667,0.5809643864631653,0.9333333373069763,60.0,0.5,0.36666667461395264,5,60.0,0.6499999761581421
0.5333333333333333,0.6815648674964905,0.5,60.0,0.5,0.5666666626930237,5,60.0,0.5333333611488342
0.575,0.6268588900566101,0.5666666626930237,60.0,0.5,0.7166666388511658,5,60.0,0.6416666507720947
0.475,0.5787940621376038,0.7333333492279053,60.0,0.5,0.6833333373069763,6,60.0,0.7083333134651184
0.475,0.564554750919342,0.7833333611488342,60.0,0.5,0.7333333492279053,6,60.0,0.7583333253860474
0.4583333333333333,0.49170982837677,0.8666666746139526,60.0,0.5,0.7833333611488342,6,60.0,0.824999988079071
0.5833333333333334,0.4784446358680725,0.7166666388511658,60.0,0.5,0.8833333253860474,6,60.0,0.800000011920929
0.4666666666666667,0.5610647201538086,0.800000011920929,60.0,0.5,0.7333333492279053,6,60.0,0.7666666507720947
0.48333333333333334,0.5663114190101624,0.75,60.0,0.5,0.7166666388511658,7,60.0,0.7333333492279053
0.48333333333333334,0.5173434019088745,0.8166666626930237,60.0,0.5,0.7833333611488342,7,60.0,0.800000011920929
0.4666666666666667,0.5531929135322571,0.800000011920929,60.0,0.5,0.7333333492279053,7,60.0,0.7666666507720947
0.4083333333333333,0.589955747127533,0.8166666626930237,60.0,0.5,0.6333333253860474,7,60.0,0.7250000238418579
0.5583333333333333,0.526261568069458,0.699999988079071,60.0,0.5,0.8166666626930237,7,60.0,0.7583333253860474
0.6,0.6931049823760986,0.5333333611488342,60.0,0.5,0.7333333492279053,8,60.0,0.6333333253860474
0.625,0.8156651258468628,0.4833333194255829,60.0,0.5,0.7333333492279053,8,60.0,0.6083333492279053
0.4583333333333333,0.6576374173164368,0.7833333611488342,60.0,0.5,0.699999988079071,8,60.0,0.7416666746139526
0.4666666666666667,0.7265733480453491,0.7333333492279053,60.0,0.5,0.6666666865348816,8,60.0,0.699999988079071
0.48333333333333334,0.6695052981376648,0.7166666388511658,60.0,0.5,0.6833333373069763,8,60.0,0.699999988079071
0.425,0.5389073491096497,0.8166666626930237,60.0,0.5,0.6666666865348816,9,60.0,0.7416666746139526
0.525,0.4820057153701782,0.7833333611488342,60.0,0.5,0.8333333134651184,9,60.0,0.8083333373069763
0.6333333333333333,0.56755131483078,0.5833333134651184,60.0,0.5,0.8500000238418579,9,60.0,0.7166666388511658
0.5833333333333334,0.6003978848457336,0.6333333253860474,60.0,0.5,0.800000011920929,9,60.0,0.7166666388511658
0.5916666666666667,0.509056806564331,0.7333333492279053,60.0,0.5,0.9166666865348816,9,60.0,0.824999988079071
0.49166666666666664,0.5613040328025818,0.7166666388511658,60.0,0.5,0.699999988079071,10,60.0,0.7083333134651184
0.5083333333333333,0.5738330483436584,0.6666666865348816,60.0,0.5,0.6833333373069763,10,60.0,0.675000011920929
0.43333333333333335,0.5804516673088074,0.7666666507720947,60.0,0.5,0.6333333253860474,10,60.0,0.699999988079071
0.45,0.5262105464935303,0.8666666746139526,60.0,0.5,0.7666666507720947,10,60.0,0.8166666626930237
