raw\gen\time/fps,raw\gen\time/total_timesteps,raw\gen\time/time_elapsed,raw\gen\time/iterations,raw\gen\train/value_loss,raw\gen\train/learning_rate,raw\gen\train/clip_fraction,raw\gen\train/explained_variance,raw\gen\train/loss,raw\gen\train/policy_gradient_loss,raw\gen\train/entropy_loss,raw\gen\train/n_updates,raw\gen\train/approx_kl,raw\gen\train/clip_range
258,200,0,1,,,,,,,,,,
716,400,0,1,19.416926383972168,0.0003,0.03699999889358878,-0.16932451725006104,6.25990104675293,-0.023354788068914778,-1.3833850741386413,10,0.013660022,0.2
986,600,0,1,15.080231666564941,0.0003,0.0,-0.13287901878356934,6.309819221496582,-0.011013201391615546,-1.368870884180069,20,0.0038997321,0.2
1411,800,0,1,88.11594276428222,0.0003,0.0,-1.58866286277771,40.02505111694336,-0.0010919968566449612,-1.369068157672882,30,0.004286968,0.2
1763,1000,0,1,77.79294891357422,0.0003,0.0009999999776482583,-1.1785306930541992,37.62687683105469,-0.009483129016472702,-1.3609726786613465,40,0.008038375,0.2
2094,1200,0,1,206.22256393432616,0.0003,0.0,-0.0641028881072998,86.23065185546875,-0.0066132165182494875,-1.3519255936145782,50,0.005468625,0.2
2544,1400,0,1,197.38592834472655,0.0003,0.0,0.16243976354599,91.07173156738281,-0.004020755494479111,-1.3429783165454865,60,0.0008773262,0.2
2916,1600,0,1,54.1576114654541,0.0003,0.03249999936670065,-0.360934853553772,27.01118278503418,-0.018034774646512375,-1.308363777399063,70,0.012469137,0.2
3256,1800,0,1,336.4945785522461,0.0003,0.0,0.047366201877593994,164.81504821777344,-0.0017446397198217056,-1.328114354610443,80,-0.002843836,0.2
3647,2000,0,1,152.74996185302734,0.0003,0.0,0.1684061884880066,73.9381332397461,-0.005496469521502156,-1.3224440276622773,90,0.0041236114,0.2
3907,2200,0,1,157.26358489990236,0.0003,0.0,0.35882169008255005,75.66279602050781,-0.006442677923943841,-1.3130572438240051,100,0.0038813439,0.2
4251,2400,0,1,475.87610321044923,0.0003,0.0,0.2131798267364502,227.29754638671875,-0.005850785697286476,-1.3418086349964142,110,-0.005772947,0.2
4772,2600,0,1,138.07768669128419,0.0003,0.0004999999888241291,-0.005467414855957031,63.45667266845703,-0.007308433016616078,-1.3128992319107056,120,0.0037833196,0.2
5005,2800,0,1,270.249747467041,0.0003,0.008499999716877937,0.4627668261528015,123.87184143066406,-0.009199171473825096,-1.3523139953613281,130,-0.00093696883,0.2
5374,3000,0,1,270.49658050537107,0.0003,0.0,0.010381460189819336,126.19547271728516,-0.006864685182226537,-1.3536017894744874,140,0.0027570305,0.2
5832,3200,0,1,179.62113265991212,0.0003,0.009499999787658453,0.3507044315338135,77.76332092285156,-0.01001971459246489,-1.3177903473377228,150,0.0016351499,0.2
6036,3400,0,1,112.66632652282715,0.0003,0.0254999996162951,0.6202404201030731,53.44625473022461,-0.008976784519734781,-1.3380549371242523,160,0.0021249657,0.2
6418,3600,0,1,86.8324047088623,0.0003,0.0004999999888241291,0.6338215172290802,43.089088439941406,-0.008613812678742505,-1.3196303009986878,170,0.0040767826,0.2
6741,3800,0,1,112.14881248474121,0.0003,0.0024999999441206455,-0.053249359130859375,54.23455810546875,-0.011212066245876428,-1.3520681381225585,180,0.0020869812,0.2
