l2_loss,prob_true_act,neglogp,ent_loss,l2_norm,loss,samples_so_far,entropy,epoch_num,batch_num
0.0,0.5000385046005249,0.6930702328681946,-0.0006931471871212125,36.500099182128906,0.6923770904541016,32.0,0.6931471824645996,0.0,1.0
0.0,0.8037818074226379,0.31208905577659607,-0.0003392097423784435,46.96162414550781,0.3117498457431793,3232.0,0.33920973539352417,0.0,101.0
0.0,0.766089677810669,0.30983781814575195,-0.0004089910944458097,51.87681198120117,0.3094288408756256,6432.0,0.4089910686016083,0.0,201.0
0.0,0.8520759344100952,0.19485563039779663,-0.0002687630767468363,58.074981689453125,0.1945868730545044,9632.0,0.26876306533813477,0.0,301.0
0.0,0.8635046482086182,0.18360209465026855,-0.00023906050773803145,63.04629898071289,0.18336303532123566,12832.0,0.23906049132347107,0.0,401.0
0.0,0.8795085549354553,0.16784211993217468,-0.00019380470621399581,68.1763916015625,0.1676483154296875,16032.0,0.19380469620227814,0.0,501.0
0.0,0.7730894088745117,0.3126677870750427,-0.0003479556180536747,74.9792709350586,0.3123198449611664,19232.0,0.3479556143283844,0.0,601.0
0.0,0.8133153319358826,0.2668921649456024,-0.00026597100077196956,81.38690185546875,0.26662617921829224,22432.0,0.26597097516059875,0.0,701.0
0.0,0.861445426940918,0.2017303854227066,-0.00021427041792776436,90.4859390258789,0.20151612162590027,25632.0,0.21427041292190552,0.0,801.0
0.0,0.891848087310791,0.148413747549057,-0.00017302828200627118,100.29063415527344,0.14824071526527405,28832.0,0.17302827537059784,0.0,901.0
0.0,0.8317452669143677,0.2240634560585022,-0.00026762887137010694,111.98251342773438,0.2237958312034607,32032.0,0.26762884855270386,0.0,1001.0
0.0,0.8959938883781433,0.1274203062057495,-0.0002019128151005134,125.25052642822266,0.12721839547157288,35232.0,0.2019128054380417,0.0,1101.0
0.0,0.9106134176254272,0.12416784465312958,-0.0001415224833181128,139.11541748046875,0.12402632087469101,38432.0,0.14152248203754425,0.0,1201.0
0.0,0.9005120992660522,0.12372495979070663,-0.0001937323686433956,154.0238800048828,0.12353122979402542,41632.0,0.1937323659658432,0.0,1301.0
0.0,0.9270116686820984,0.08959458768367767,-0.00014667445793747902,168.81265258789062,0.08944791555404663,44832.0,0.14667445421218872,0.0,1401.0
0.0,0.9179373979568481,0.10017899423837662,-0.0001748675131238997,183.9254150390625,0.10000412911176682,48032.0,0.17486751079559326,0.0,1501.0
0.0,0.9339407682418823,0.07726077735424042,-0.00015232156147249043,198.5332489013672,0.0771084576845169,51232.0,0.15232154726982117,0.0,1601.0
0.0,0.9322844743728638,0.07866863906383514,-0.00015821326815057546,213.27081298828125,0.07851042598485947,54432.0,0.15821325778961182,0.0,1701.0
0.0,0.9466396570205688,0.07605499774217606,-9.30527166929096e-05,226.89633178710938,0.07596194744110107,57632.0,0.09305271506309509,0.0,1801.0
0.0,0.9403625130653381,0.07338622212409973,-0.00012567169324029237,240.1591033935547,0.07326055318117142,60832.0,0.12567168474197388,0.0,1901.0
0.0,0.9201400279998779,0.09698230773210526,-0.00017311054398305714,254.20042419433594,0.09680919349193573,64032.0,0.17311052978038788,0.0,2001.0
0.0,0.9504001140594482,0.056168440729379654,-0.0001297698327107355,267.6697082519531,0.05603867024183273,67232.0,0.12976983189582825,0.0,2101.0
0.0,0.8978123664855957,0.18461430072784424,-0.00012707493442576379,278.2315368652344,0.1844872236251831,70432.0,0.1270749270915985,0.0,2201.0
0.0,0.929507851600647,0.09050068259239197,-0.0001369738602079451,289.04400634765625,0.09036371111869812,73632.0,0.13697385787963867,0.0,2301.0
0.0,0.9460418820381165,0.06947777420282364,-0.00010665668378351256,299.74688720703125,0.06937111914157867,76832.0,0.10665667802095413,0.0,2401.0
0.0,0.9501656293869019,0.057640597224235535,-0.00011855133925564587,312.49560546875,0.05752204731106758,80032.0,0.1185513362288475,0.0,2501.0
0.0,0.9510860443115234,0.05785670876502991,-0.0001105408082366921,324.1199645996094,0.05774616822600365,83232.0,0.11054079979658127,0.0,2601.0
0.0,0.9609618782997131,0.04619680345058441,-9.57701777224429e-05,334.2819519042969,0.04610103368759155,86432.0,0.09577017277479172,0.0,2701.0
0.0,0.9646130800247192,0.04019780084490776,-9.644207602832466e-05,345.6806640625,0.04010136052966118,89632.0,0.0964420735836029,0.0,2801.0
0.0,0.9400337934494019,0.07079589366912842,-0.00013634715287480503,356.9689025878906,0.07065954804420471,92832.0,0.13634714484214783,0.0,2901.0
0.0,0.9186668395996094,0.11232900619506836,-0.00015068156062625349,366.2519836425781,0.11217832565307617,96032.0,0.15068155527114868,0.0,3001.0
0.0,0.9856492877006531,0.017496837303042412,-3.351721170474775e-05,375.0215148925781,0.01746332086622715,99232.0,0.03351721167564392,0.0,3101.0
0.0,0.969700038433075,0.035831667482852936,-6.833828228991479e-05,383.7710266113281,0.03576333075761795,102432.0,0.06833828240633011,0.0,3201.0
0.0,0.9531033039093018,0.060393765568733215,-9.461947047384456e-05,392.5331115722656,0.06029914692044258,105632.0,0.09461946785449982,0.0,3301.0
0.0,0.986243486404419,0.014963457360863686,-4.039903069497086e-05,401.4496154785156,0.014923058450222015,108832.0,0.04039902985095978,0.0,3401.0
0.0,0.9832614064216614,0.018456673249602318,-4.8788431740831584e-05,409.5628356933594,0.01840788498520851,112032.0,0.04878842830657959,0.0,3501.0
0.0,0.9308534264564514,0.10152771323919296,-0.00010211898188572377,417.14434814453125,0.10142559558153152,115232.0,0.10211897641420364,0.0,3601.0
