mean\gen\train/clip_fraction,mean\disc\disc_proportion_expert_true,mean\gen\train/learning_rate,mean\gen\rollout/ep_len_mean,mean\disc\disc_acc_expert,mean\gen\train/loss,mean\gen\time/time_elapsed,mean\gen\train/explained_variance,mean\disc\disc_loss,mean\gen\train/policy_gradient_loss,mean\gen\train/entropy_loss,mean\gen\train/n_updates,mean\gen\time/total_timesteps,mean\disc\disc_acc_gen,mean\gen\time/fps,mean\disc\global_step,mean\gen\train/approx_kl,mean\gen\time/iterations,mean\disc\n_generated,mean\gen\train/clip_range,mean\gen\train/value_loss,mean\disc\disc_acc,mean\disc\disc_proportion_expert_pred,mean\disc\n_expert,mean\gen\rollout/ep_rew_mean,mean\gen\rollout/ep_rew_wrapped_mean
0.0,0.5,0.0003,22.0,0.8166666626930237,0.06353932619094849,0.0,0.11784988641738892,0.6898280084133148,-0.009833535868673948,-1.944819736480713,10.0,50.0,0.4000000059604645,457.0,1.0,0.013118834234774113,1.0,60.0,0.2,0.4555480986833572,0.6083333194255829,0.7083333333333334,60.0,0.8625,
0.0,0.5,0.0003,22.0,0.5166666656732559,0.018496137112379074,0.0,0.16821026802062988,0.6842051148414612,-0.009929724640213067,-1.9371230840682983,20.0,100.0,0.8083333373069763,1066.0,2.0,0.010197251103818417,1.0,60.0,0.2,0.15708185620605947,0.6624999940395355,0.3541666666666667,60.0,0.8625,2.6150791123509407
0.0,0.5,0.0003,73.5,0.6500000059604645,-0.016178883612155914,0.0,-0.9929707050323486,0.6720027327537537,-0.01804572619823741,-1.9258792638778686,30.0,150.0,0.8083333373069763,1200.0,3.0,0.014900829643011093,1.0,60.0,0.2,0.08065745793282986,0.7291666865348816,0.42083333333333334,60.0,0.540625,2.6150791123509407
0.01800000071525574,0.5,0.0003,73.5,0.5333333313465118,-0.023662064224481583,0.0,-0.19602227210998535,0.6748684644699097,-0.016962515376741073,-1.9203656673431397,40.0,200.0,0.6666666865348816,1828.0,4.0,-0.025131668895483017,1.0,60.0,0.2,0.04864238537847996,0.5999999940395355,0.43333333333333335,60.0,0.540625,1.3610849955584854
0.0,0.5,0.0003,73.5,0.38333334028720856,0.5734012722969055,0.0,-0.047039151191711426,0.6614442765712738,-0.0005835459228182849,-1.9170462965965271,50.0,250.0,0.9416666626930237,2000.0,5.0,0.00019215345673728734,1.0,60.0,0.2,2.9017826795578,0.6624999940395355,0.22083333333333333,60.0,0.540625,1.3610849955584854
0.0,0.5,0.0003,97.0,0.625,0.611079216003418,0.0,-0.008273482322692871,0.6490946710109711,-0.00856619704887258,-1.9116266012191772,60.0,300.0,0.7250000238418579,2400.0,6.0,0.004477796610444784,1.0,60.0,0.2,1.5578138470649718,0.675000011920929,0.44999999999999996,60.0,0.36041666666666666,1.3610849955584854
0.0,0.5,0.0003,97.0,0.625,2.136734962463379,0.0,0.02298593521118164,0.6970570981502533,-0.0009345023022618193,-1.9045821905136109,70.0,350.0,0.4833333343267441,2489.0,7.0,-0.00452003488317132,1.0,60.0,0.2,5.931852960586548,0.5541666448116302,0.5708333333333333,60.0,0.36041666666666666,-4.213124735436092
0.0,0.5,0.0003,97.0,0.42499999701976776,1.0417416095733643,0.0,0.01606220006942749,0.6804926991462708,-0.004887454020499682,-1.8950202822685243,80.0,400.0,0.5916666686534882,4267.0,8.0,-0.0033252930734306574,1.0,60.0,0.2,2.313075804710388,0.5083333402872086,0.41666666666666663,60.0,0.36041666666666666,-4.213124735436092
0.0,0.5,0.0003,90.0,0.3333333283662796,2.0404562950134277,0.0,0.05760622024536133,0.6708438396453857,-0.005082876775646561,-1.868673610687256,90.0,450.0,0.6916666626930237,4116.0,9.0,0.001069114194251597,1.0,60.0,0.2,4.285026979446411,0.5125000029802322,0.3208333333333333,60.0,0.3975,-4.213124735436092
0.0,0.5,0.0003,77.0,0.6249999850988388,0.9615631103515625,0.0,-0.09994816780090332,0.6248895525932312,-0.0038584279015193347,-1.8492967128753661,100.0,500.0,0.9000000059604645,4572.0,10.0,-0.008375788107514381,1.0,60.0,0.2,2.3635765433311464,0.762499988079071,0.3625,60.0,0.48541666666666666,-4.4706489782780405
