batch_num,ent_loss,l2_loss,l2_norm,epoch_num,loss,entropy,prob_true_act,neglogp,samples_so_far
1.0,-0.0019458838505670428,0.0,256.5003356933594,0.0,1.9533854722976685,1.9458837509155273,0.14152321219444275,1.9553313255310059,32.0
101.0,-0.0007989595760591328,0.0,262.2142028808594,2.0,0.48717382550239563,0.7989595532417297,0.6614601612091064,0.48797279596328735,3222.0
201.0,-0.0005494626238942146,0.0,267.1659851074219,4.0,0.2750683128833771,0.549462616443634,0.7984735369682312,0.275617778301239,6412.0
301.0,-0.0003067186044063419,0.0,271.31689453125,6.0,0.17679493129253387,0.3067185878753662,0.8750444054603577,0.17710165679454803,9602.0
401.0,-0.00025486142840236425,0.0,276.2233581542969,8.0,0.102613665163517,0.25486141443252563,0.9151089191436768,0.10286852717399597,12792.0
501.0,-0.00013470005069393665,0.0,282.4277038574219,11.0,0.033704131841659546,0.13470004498958588,0.9681165814399719,0.03383883088827133,15977.0
601.0,-7.458201434928924e-05,0.0,285.2996520996094,13.0,0.012938020750880241,0.07458201050758362,0.987128496170044,0.013012602925300598,19167.0
701.0,-4.381470716907643e-05,0.0,287.0379943847656,15.0,0.006965572480112314,0.043814703822135925,0.9930432438850403,0.007009387016296387,22357.0
801.0,-4.3830885260831565e-05,0.0,288.3895568847656,17.0,0.006759160198271275,0.043830882757902145,0.9932318925857544,0.006802991032600403,25547.0
901.0,-3.542247577570379e-05,0.0,289.4979553222656,20.0,0.005315986927598715,0.03542247414588928,0.9946778416633606,0.005351409316062927,28732.0
1001.0,-2.483343268977478e-05,0.0,290.45654296875,22.0,0.003468132810667157,0.024833431467413902,0.9965172410011292,0.0034929662942886353,31922.0
1101.0,-1.4636959349445533e-05,0.0,291.3092956542969,24.0,0.0018809695029631257,0.014636958949267864,0.9981067776679993,0.001895606517791748,35112.0
1201.0,-2.0933435735059902e-05,0.0,292.05059814453125,26.0,0.0028959838673472404,0.02093343436717987,0.9970915913581848,0.0029169172048568726,38302.0
1301.0,-1.4814017958997283e-05,0.0,292.7224426269531,28.0,0.001901311450637877,0.014814017340540886,0.9980867505073547,0.0019161254167556763,41492.0
1401.0,-1.424303809471894e-05,0.0,293.3362731933594,31.0,0.00182385987136513,0.014243037439882755,0.9981648325920105,0.00183810293674469,44677.0
1501.0,-1.4294728316599503e-05,0.0,293.90185546875,33.0,0.0018352522747591138,0.014294727705419064,0.9981534481048584,0.001849547028541565,47867.0
1601.0,-1.1522196473379154e-05,0.0,294.4264831542969,35.0,0.0014501326950266957,0.011522196233272552,0.9985406398773193,0.0014616549015045166,51057.0
1701.0,-9.426267752132844e-06,0.0,294.91961669921875,37.0,0.0011445196578279138,0.009426266886293888,0.9988473653793335,0.0011539459228515625,54247.0
1801.0,-9.814256372919772e-06,0.0,295.381103515625,40.0,0.00123613141477108,0.009814255870878696,0.9987558722496033,0.001245945692062378,57432.0
1901.0,-1.258377142221434e-05,0.0,295.835205078125,42.0,0.001571513945236802,0.012583770789206028,0.9984179735183716,0.0015840977430343628,60622.0
2001.0,-1.0198938980465755e-05,0.0,296.2705993652344,44.0,0.0012559080496430397,0.01019893866032362,0.9987353086471558,0.0012661069631576538,63812.0
2101.0,-7.605409336974844e-06,0.0,296.68463134765625,46.0,0.0008984000887721777,0.007605408784002066,0.9990947842597961,0.0009060055017471313,67002.0
2201.0,-9.365405276184902e-06,0.0,297.0917053222656,48.0,0.0011273249983787537,0.009365404956042767,0.9988644123077393,0.001136690378189087,70192.0
