mean\gen\train/n_updates,mean\neg_gen\train/explained_variance,mean\gen\rollout/ep_len_mean,mean\neg_gen\time/iterations,mean\gen\train/loss,mean\neg_gen\train/n_updates,mean\gen\time/time_elapsed,mean\gen\train/learning_rate,mean\gen\train/clip_range,mean\disc\disc_acc,mean\neg_gen\train/approx_kl,mean\neg_gen\time/fps,mean\disc\disc_proportion_expert_true,mean\neg_gen\time/time_elapsed,mean\neg_gen\train/value_loss,mean\gen\time/total_timesteps,mean\gen\train/entropy_loss,mean\disc\disc_proportion_expert_pred,mean\neg_gen\rollout/ep_len_mean,mean\gen\train/approx_kl,mean\neg_gen\time/total_timesteps,mean\disc\global_step,mean\disc\disc_loss,mean\disc\n_generated,mean\neg_gen\train/clip_fraction,mean\gen\train/value_loss,mean\neg_gen\train/entropy_loss,mean\neg_gen\train/clip_range,mean\disc\disc_acc_expert,mean\gen\train/explained_variance,mean\disc\n_expert,mean\neg_gen\train/loss,mean\disc\disc_entropy,mean\gen\train/policy_gradient_loss,mean\neg_gen\train/learning_rate,mean\gen\rollout/ep_rew_mean,mean\disc\disc_acc_gen,mean\gen\time/iterations,mean\neg_gen\train/policy_gradient_loss,mean\gen\train/clip_fraction,mean\neg_gen\rollout/ep_rew_mean,mean\gen\time/fps
10.0,-0.06033480167388916,20.291666666666668,1.0,0.02906026691198349,10.0,2.0,0.0003,0.2,0.4765625,0.007171007804572582,494.0,0.5,2.0,0.7125658612698317,1000.0,-0.6829921290278435,0.0546875,21.23404255319149,0.015152307227253914,1000.0,2.0,0.6986889541149139,32.0,0.17029296876862646,0.7157952781766653,-0.6832723524421453,0.2,0.03125,-0.23784732818603516,32.0,-0.0022621899843215942,0.26121680438518524,-0.01885905418821494,0.0003,20.291666666666668,0.921875,1.0,-0.022193595994031055,0.1850195314269513,21.23404255319149,431.0
20.0,0.32733750343322754,25.102564102564102,1.0,0.13870543241500854,20.0,2.0,0.0003,0.2,0.5234375,0.025472966954112053,977.0,0.5,2.0,0.21256130561232567,2000.0,-0.6533831063657999,0.1328125,18.3,0.012779008597135544,2000.0,4.0,0.6913337707519531,32.0,0.30023437542840836,0.32670016260817647,-0.6303257685154676,0.2,0.15625,0.25442367792129517,32.0,0.0603695772588253,0.1758747696876526,-0.019446067538228817,0.0003,25.102564102564102,0.890625,1.0,-0.027387368283234535,0.10031250010943041,18.3,987.0
30.0,0.7193897068500519,30.6875,1.0,0.04267941787838936,30.0,1.0,0.0003,0.2,0.5234375,0.04089674353599548,1493.0,0.5,2.0,0.123540821345523,3000.0,-0.6234127778559924,0.2578125,15.09,0.013712181709706783,3000.0,6.0,0.6890947818756104,32.0,0.4789648446254432,0.27875914368778465,-0.501537986844778,0.2,0.28125,0.5607108473777771,32.0,-0.10691791027784348,0.11731351912021637,-0.025238070741761476,0.0003,30.6875,0.765625,1.0,-0.05583421720657498,0.1543750001117587,15.09,1501.0
40.0,0.8324505835771561,36.87,1.0,0.12477076053619385,40.0,1.0,0.0003,0.2,0.640625,0.041919007897377014,2011.0,0.5,1.0,0.03838482726132497,4000.0,-0.5907777279615403,0.4375,11.66,0.014916135929524899,4000.0,8.0,0.690158486366272,32.0,0.17386718774214388,0.27546356110833586,-0.3538469968363643,0.2,0.578125,0.34062761068344116,32.0,-0.07187187671661377,-0.016802538186311722,-0.01526150435092859,0.0003,36.87,0.703125,1.0,-0.04520442840876058,0.13119140644557775,11.66,2000.0
50.0,0.8918983340263367,44.46,1.0,0.025019437074661255,50.0,2.0,0.0003,0.2,0.5546875,0.0038293935358524323,2289.0,0.5,2.0,0.020598647790029644,5000.0,-0.5832555595785379,0.3984375,9.63,0.0043766614980995655,5000.0,10.0,0.6887185275554657,32.0,0.05955078131519258,0.06526109842816367,-0.28233404234051707,0.2,0.453125,0.8278371691703796,32.0,-0.03417740389704704,-0.07799240946769714,-0.008191980519768549,0.0003,44.46,0.65625,1.0,-0.024164060901966877,0.06802734383381903,9.63,2436.0
60.0,0.9372201263904572,52.06,1.0,0.020795216783881187,60.0,2.0,0.0003,0.2,0.4921875,0.0029880094807595015,2991.0,0.5,2.0,0.012196925916941836,6000.0,-0.5689395558089018,0.5078125,9.14,0.0056728641502559185,6000.0,12.0,0.6945528388023376,32.0,0.05345703132916242,0.04629189730621874,-0.213460676278919,0.2,0.5,0.8984418660402298,32.0,-0.00321692181751132,-0.21886754035949707,-0.015063123278378044,0.0003,52.06,0.484375,1.0,-0.014481596549740062,0.14804687523283064,9.14,2947.0
