raw\gen\time/iterations,raw\gen\time/fps,raw\gen\time/total_timesteps,raw\gen\time/time_elapsed,raw\gen\train/clip_fraction,raw\gen\rollout/ep_rew_mean,raw\gen\train/entropy_loss,raw\gen\train/explained_variance,raw\gen\train/approx_kl,raw\gen\rollout/ep_len_mean,raw\gen\train/n_updates,raw\gen\train/policy_gradient_loss,raw\gen\train/clip_range,raw\gen\train/learning_rate,raw\gen\train/loss,raw\gen\train/value_loss,raw\gen\rollout/ep_rew_wrapped_mean
1,144,50,0,,,,,,,,,,,,,
1,602,100,0,0.0,0.375,-1.9450742959976197,0.27565228939056396,0.007398691,100.0,10,-0.010084664765744832,0.2,0.0003,1.1676784753799438,7.547880482673645,
1,955,150,0,0.0,0.375,-1.940012800693512,0.025407493114471436,-0.01834261,100.0,20,-0.014730523832142416,0.2,0.0003,1.414106011390686,3.2166725158691407,27.297076418995857
1,1253,200,0,0.0,0.375,-1.928403389453888,0.004557490348815918,0.0014727234,100.0,30,-0.011125545037910457,0.2,0.0003,0.8244955539703369,2.6095705151557924,27.297076418995857
1,1562,250,0,0.0,0.1875,-1.9174708008766175,-0.004332780838012695,0.0066173146,122.0,40,-0.009722986591513915,0.2,0.0003,1.0430654287338257,2.9010808944702147,27.297076418995857
1,1679,300,0,0.0,0.1875,-1.9176366686820985,0.01911330223083496,0.0025005054,122.0,50,-0.0035974697431086613,0.2,0.0003,2.056196451187134,4.338745069503784,27.830599538981915
1,1732,350,0,0.0,0.1875,-1.9224706888198853,-0.002432584762573242,0.006342573,122.0,60,0.002016260079806642,0.2,0.0003,1.5254123210906982,3.416587734222412,27.830599538981915
1,2122,400,0,0.0,0.125,-1.9149268507957458,0.03145098686218262,-0.0142146945,129.33333333333334,70,-0.0060752576636147635,0.2,0.0003,0.08972977846860886,0.3281192719936371,27.830599538981915
1,2777,450,0,0.0,0.2984375,-1.9305179953575133,-0.005091190338134766,-0.007892236,104.25,80,0.0022060124382839775,0.2,0.0003,4.032381534576416,8.222176551818848,24.43388533840577
1,2958,500,0,0.0,0.2984375,-1.9316091656684875,-0.005144000053405762,4.9858092e-05,104.25,90,-0.0017976846774111267,0.2,0.0003,2.5009422302246094,6.127462911605835,18.95630351267755
1,3503,550,0,0.11199999898672104,0.2984375,-1.9137089610099793,0.17851686477661133,-0.021087207,104.25,100,-0.03376795933954426,0.2,0.0003,0.04959172010421753,0.2193887010216713,18.95630351267755
1,3920,600,0,0.03199999816715717,0.23875000000000002,-1.8786834239959718,0.12117469310760498,0.025640165,112.2,110,-0.011657933404669052,0.2,0.0003,0.03097376972436905,0.1155248075723648,18.95630351267755
1,4166,650,0,0.007999999821186066,0.3145833333333334,-1.8473046898841858,0.027857661247253418,0.02183801,101.66666666666667,120,-0.012652603871189072,0.2,0.0003,1.6674317121505737,3.8024409294128416,15.98466839939356
1,4517,700,0,0.013999999687075614,0.3145833333333334,-1.8153988242149353,0.040171027183532715,-0.012447038,101.66666666666667,130,-0.02193923852220179,0.2,0.0003,1.638270616531372,3.5425843238830566,13.765320535749197
1,4789,750,0,0.02199999913573265,0.38046875,-1.7715832471847535,0.07542353868484497,0.029384162,93.125,140,-0.01160602546576417,0.2,0.0003,0.17997394502162933,0.45552284121513364,13.765320535749197
1,4233,800,0,0.0,0.38046875,-1.7674840688705444,0.13654929399490356,-0.00096666574,93.125,150,-0.013634730656630723,0.2,0.0003,2.0035927295684814,5.3721638202667235,11.012890370562673
1,5411,850,0,0.09799999706447124,0.38046875,-1.658137023448944,0.10449773073196411,0.041606635,93.125,160,-0.025703748650849078,0.2,0.0003,0.49229198694229126,1.1201620280742646,11.012890370562673
1,5879,900,0,0.0,0.3666666666666667,-1.5329652428627014,0.07503068447113037,0.023755524,96.0,170,0.006541391412727649,0.2,0.0003,0.7149249315261841,2.135070776939392,11.012890370562673
1,6044,950,0,0.0,0.3666666666666667,-1.516360056400299,0.09653043746948242,0.0054778145,96.0,180,-0.006570625361520754,0.2,0.0003,0.7690041065216064,2.93351389169693,8.563319568004873
1,6227,1000,0,0.0,0.36875,-1.5115004301071167,0.07398003339767456,0.00052684784,96.2,190,-0.009703431793488626,0.2,0.0003,0.6541725993156433,2.388633394241333,8.563319568004873
1,6661,1050,0,0.053999999165534975,0.36875,-1.4763182759284974,-0.00032460689544677734,0.03235927,96.2,200,-0.013408199209603566,0.2,0.0003,1.2894363403320312,2.7139450550079345,6.356327704340219
1,6823,1100,0,0.10199999697506427,0.35965909090909093,-1.5810566782951354,0.06193220615386963,-0.009914834,98.0909090909091,210,-0.016011972479522286,0.2,0.0003,1.1010061502456665,2.5878505945205688,6.356327704340219
1,7466,1150,0,0.013999999687075614,0.3880208333333333,-1.6312405824661256,0.059396564960479736,0.017151814,93.91666666666667,220,-0.01845428666751836,0.2,0.0003,1.3980765342712402,3.093825173377991,5.130627375434745
1,7813,1200,0,0.07999999932944775,0.3880208333333333,-1.7851550340652467,0.1788150668144226,0.013622512,93.91666666666667,230,-0.020005656378343416,0.2,0.0003,2.041534662246704,6.193681764602661,4.8831201655169325
1,8220,1250,0,0.0,0.3880208333333333,-1.7433969616889953,0.12538039684295654,0.003632834,93.91666666666667,240,-0.0024490087475861344,0.2,0.0003,3.1794700622558594,6.860333251953125,4.8831201655169325
1,8176,1300,0,0.0,0.3581730769230769,-1.8012039422988892,0.09233319759368896,0.005420053,97.76923076923077,250,-0.003940068983938972,0.2,0.0003,4.806580543518066,12.634399700164796,4.8831201655169325
1,8282,1350,0,0.041999999061226846,0.3581730769230769,-1.7960833311080933,0.2734077572822571,0.018815698,97.76923076923077,260,-0.018989397921599416,0.2,0.0003,0.5353835821151733,1.2153521418571471,3.0264264081533137
