mean\disc\disc_acc_gen,mean\disc\disc_proportion_expert_true,mean\disc\disc_acc,mean\disc\disc_loss,mean\disc\n_generated,mean\disc\n_expert,mean\disc\disc_proportion_expert_pred,mean\disc\disc_acc_expert,mean\disc\global_step
0.5233333349227905,0.5,0.5983333230018616,0.6830015659332275,60.0,60.0,0.5750000000000001,0.6733333349227906,1.0
0.5999999880790711,0.5,0.5833333373069763,0.670810091495514,60.0,60.0,0.4833333333333333,0.5666666686534881,2.0
0.8033333301544189,0.5,0.7333333253860473,0.5898983240127563,60.0,60.0,0.43000000000000005,0.6633333444595337,3.0
0.6366666555404663,0.5,0.6550000071525575,0.5941674113273621,60.0,60.0,0.5183333333333333,0.6733333349227906,4.0
0.6133333265781403,0.5,0.5983333349227905,0.6406299114227295,60.0,60.0,0.485,0.5833333373069763,5.0
0.7800000071525574,0.5,0.7716666579246522,0.5349135994911194,60.0,60.0,0.49166666666666664,0.7633333444595337,6.0
0.7766666650772094,0.5,0.7566666722297669,0.550613009929657,60.0,60.0,0.48,0.7366666674613952,7.0
0.6500000059604645,0.5,0.6766666650772095,0.7124972343444824,60.0,60.0,0.5266666666666666,0.7033333420753478,8.0
0.7100000023841858,0.5,0.7616666555404663,0.5395838141441345,60.0,60.0,0.5516666666666667,0.8133333444595336,9.0
0.7733333349227904,0.5,0.7349999904632568,0.5500007748603821,60.0,60.0,0.46166666666666656,0.6966666579246521,10.0
0.6899999976158142,0.5,0.7483333349227905,0.5529647707939148,60.0,60.0,0.5583333333333333,0.8066666722297668,11.0
0.6266666531562806,0.5,0.6400000095367432,0.6474416017532348,60.0,60.0,0.5133333333333333,0.653333342075348,12.0
0.3899999976158142,0.5,0.5616666555404664,0.7370615601539612,60.0,60.0,0.6716666666666667,0.7333333253860475,13.0
0.5600000023841858,0.5,0.5866666793823242,0.6710084795951843,60.0,60.0,0.5266666666666666,0.6133333325386048,14.0
0.4400000035762787,0.5,0.5733333349227906,0.6854845523834229,60.0,60.0,0.6333333333333333,0.706666660308838,15.0
0.8833333373069763,0.5,0.8166666507720948,0.565960705280304,60.0,60.0,0.4333333333333334,0.75,16.0
0.7033333301544189,0.5,0.7166666746139526,0.5870637416839599,60.0,60.0,0.5133333333333333,0.7299999952316284,17.0
0.5,0.5,0.5866666793823243,0.677103865146637,60.0,60.0,0.5866666666666667,0.6733333230018617,18.0
0.803333330154419,0.5,0.7966666698455811,0.4924771189689636,60.0,60.0,0.49333333333333335,0.7899999976158143,19.0
0.8399999976158142,0.5,0.7916666746139526,0.46965479850769043,60.0,60.0,0.45166666666666666,0.7433333277702332,20.0
0.6799999833106996,0.5,0.7233333349227906,0.5503625988960266,60.0,60.0,0.5433333333333333,0.7666666746139527,21.0
0.7033333301544189,0.5,0.6950000047683715,0.5701962947845459,60.0,60.0,0.4916666666666667,0.6866666674613953,22.0
0.9033333301544189,0.5,0.8616666674613953,0.38009908199310305,60.0,60.0,0.4583333333333333,0.8200000047683715,23.0
0.8299999952316284,0.5,0.8133333325386047,0.421646511554718,60.0,60.0,0.4833333333333333,0.7966666579246521,24.0
0.746666669845581,0.5,0.7566666603088379,0.5135496139526368,60.0,60.0,0.51,0.7666666626930236,25.0
0.8066666722297668,0.5,0.7800000071525574,0.4453496277332306,60.0,60.0,0.47333333333333333,0.753333330154419,26.0
0.8300000071525573,0.5,0.7450000047683716,0.5769381046295166,60.0,60.0,0.415,0.6600000083446502,27.0
0.6133333325386048,0.5,0.6666666626930238,0.6179272651672363,60.0,60.0,0.5533333333333333,0.7199999928474426,28.0
0.7633333444595337,0.5,0.7283333301544189,0.5192233324050903,60.0,60.0,0.46499999999999997,0.6933333277702332,29.0
0.6599999964237213,0.5,0.700000011920929,0.5889967679977417,60.0,60.0,0.54,0.7400000095367432,30.0
0.7066666722297669,0.5,0.6933333277702332,0.5709625363349915,60.0,60.0,0.4866666666666667,0.6800000071525574,31.0
0.7300000071525574,0.5,0.7816666722297668,0.4837554395198822,60.0,60.0,0.5516666666666667,0.8333333253860473,32.0
0.7800000071525575,0.5,0.7566666722297668,0.4837878406047821,60.0,60.0,0.4766666666666666,0.7333333253860473,33.0
0.7299999952316284,0.5,0.7549999952316284,0.5219826698303223,60.0,60.0,0.525,0.7799999952316283,34.0
0.8333333373069762,0.5,0.7899999976158142,0.4572533965110779,60.0,60.0,0.45666666666666667,0.746666669845581,35.0
0.626666682958603,0.5,0.6850000023841858,0.5929931759834289,60.0,60.0,0.5583333333333333,0.7433333396911621,36.0
0.6433333277702331,0.5,0.6300000071525573,0.6756897568702698,60.0,60.0,0.4866666666666667,0.6166666626930237,37.0
0.6500000119209289,0.5,0.6899999976158142,0.5642066955566406,60.0,60.0,0.5399999999999999,0.7300000071525573,38.0
