mean\gen\train/learning_rate,mean\disc\disc_acc_expert,mean\gen\train/entropy_loss,mean\disc\disc_entropy,mean\gen\time/iterations,mean\disc\n_expert,mean\gen\train/clip_fraction,mean\gen\time/fps,mean\gen\train/approx_kl,mean\disc\disc_proportion_expert_true,mean\gen\time/total_timesteps,mean\gen\train/policy_gradient_loss,mean\gen\train/loss,mean\gen\train/explained_variance,mean\gen\train/clip_range,mean\disc\disc_acc_gen,mean\disc\global_step,mean\disc\n_generated,mean\disc\disc_proportion_expert_pred,mean\gen\train/n_updates,mean\gen\time/time_elapsed,mean\gen\train/value_loss,mean\disc\disc_loss,mean\disc\disc_acc
0.0003,0.458333358168602,-1.3833850741386413,0.4598080813884735,1.0,60.0,0.03699999889358878,258.0,0.013660022057592869,0.5,200.0,-0.023354788068914778,6.25990104675293,-0.16932451725006104,0.2,0.9500000476837158,1.0,60.0,0.25416666666666665,10.0,0.0,19.416926383972168,0.46562354266643524,0.7041667103767395
0.0003,0.6333333849906921,-1.368870884180069,0.41463029384613037,1.0,60.0,0.0,716.0,0.0038997321389615536,0.5,400.0,-0.011013201391615546,6.309819221496582,-0.13287901878356934,0.2,0.9583333730697632,2.0,60.0,0.3375,20.0,0.0,15.080231666564941,0.36398106813430786,0.7958333790302277
0.0003,0.7083333730697632,-1.369068157672882,0.5652043521404266,1.0,60.0,0.0,986.0,0.004286968149244785,0.5,600.0,-0.0010919968566449612,40.02505111694336,-1.58866286277771,0.2,0.6750000417232513,3.0,60.0,0.5166666666666666,30.0,0.0,88.11594276428222,0.4883328378200531,0.6916666924953461
0.0003,0.8083333671092987,-1.3609726786613465,0.5525357127189636,1.0,60.0,0.0009999999776482583,1411.0,0.008038374595344067,0.5,800.0,-0.009483129016472702,37.62687683105469,-1.1785306930541992,0.2,0.616666704416275,4.0,60.0,0.5958333333333333,40.0,0.0,77.79294891357422,0.4683743417263031,0.7125000655651093
0.0003,0.8916667103767395,-1.3519255936145782,0.5254271924495697,1.0,60.0,0.0,1763.0,0.005468625109642744,0.5,1000.0,-0.0066132165182494875,86.23065185546875,-0.0641028881072998,0.2,0.616666704416275,5.0,60.0,0.6375,50.0,0.0,206.22256393432616,0.5537394285202026,0.7541667222976685
0.0003,0.8416666984558105,-1.3429783165454865,0.5402294397354126,1.0,60.0,0.0,2094.0,0.0008773261797614396,0.5,1200.0,-0.004020755494479111,91.07173156738281,0.16243976354599,0.2,0.458333358168602,6.0,60.0,0.6916666666666667,60.0,0.0,197.38592834472655,0.6060930788516998,0.6500000357627869
0.0003,0.9333333969116211,-1.308363777399063,0.5177525281906128,1.0,60.0,0.03249999936670065,2544.0,0.012469137087464333,0.5,1400.0,-0.018034774646512375,27.01118278503418,-0.360934853553772,0.2,0.8083333671092987,7.0,60.0,0.5625,70.0,0.0,54.1576114654541,0.38958780467510223,0.8708333671092987
0.0003,0.916666716337204,-1.328114354610443,0.4981432110071182,1.0,60.0,0.0,2916.0,-0.0028438360895961523,0.5,1600.0,-0.0017446397198217056,164.81504821777344,0.047366201877593994,0.2,0.5083333551883698,8.0,60.0,0.7041666666666666,80.0,0.0,336.4945785522461,0.6585010290145874,0.7125000357627869
0.0003,0.7583333551883698,-1.3224440276622773,0.5566191375255585,1.0,60.0,0.0,3256.0,0.0041236113756895065,0.5,1800.0,-0.005496469521502156,73.9381332397461,0.1684061884880066,0.2,0.5166666805744171,9.0,60.0,0.6208333333333333,90.0,0.0,152.74996185302734,0.5901097357273102,0.6375000476837158
0.0003,0.791666716337204,-1.3130572438240051,0.5220588743686676,1.0,60.0,0.0,3647.0,0.003881343873217702,0.5,2000.0,-0.006442677923943841,75.66279602050781,0.35882169008255005,0.2,0.5000000149011612,10.0,60.0,0.6458333333333333,100.0,0.0,157.26358489990236,0.5476344227790833,0.6458333730697632
