raw\gen\time/fps,raw\gen\rollout/ep_len_mean,raw\gen\time/time_elapsed,raw\gen\time/total_timesteps,raw\gen\rollout/ep_rew_mean,raw\gen\time/iterations,raw\gen\train/clip_range,raw\gen\train/learning_rate,raw\gen\rollout/ep_rew_wrapped_mean,raw\gen\train/policy_gradient_loss,raw\gen\train/approx_kl,raw\gen\train/explained_variance,raw\gen\train/loss,raw\gen\train/value_loss,raw\gen\train/clip_fraction,raw\gen\train/n_updates,raw\gen\train/entropy_loss
135,16.0,0,50,0.9,1,,,,,,,,,,,
555,33.5,0,100,0.790625,1,0.2,0.0003,1.4498530179262161,-0.012310552399605258,0.008518355,-0.11152470111846924,0.02710353210568428,0.21291282251477242,0.0,10,-1.9450402498245238
925,33.5,0,150,0.790625,1,0.2,0.0003,2.6424718033522367,-0.008744155320804659,0.011216235,-0.0029436349868774414,0.10469717532396317,0.33171131312847135,0.0,20,-1.9387633681297303
1237,33.5,0,200,0.790625,1,0.2,0.0003,2.6424718033522367,-0.009631655009463457,0.0032128883,-2.2844550609588623,0.003168286755681038,0.16108870580792428,0.0,30,-1.9300472855567932
1146,62.5,0,250,0.584375,1,0.2,0.0003,2.6424718033522367,-0.012029508324281757,0.004622507,-0.5447912216186523,-0.025738127529621124,0.011410055123269558,0.0,40,-1.9198906421661377
1317,62.5,0,300,0.584375,1,0.2,0.0003,2.5742082372307777,-0.0095070208590478,-0.014641947,-0.06667566299438477,0.10257719457149506,0.7601453840732575,0.0,50,-1.8930294394493103
1666,62.5,0,350,0.584375,1,0.2,0.0003,2.5742082372307777,-0.0035234473473678917,0.00024504185,-0.2011953592300415,0.018217304721474648,0.08591978214681148,0.0,60,-1.8627274751663208
1923,78.8,0,400,0.46749999999999997,1,0.2,0.0003,2.5742082372307777,-0.0024795452951220653,0.0042829392,-0.07943117618560791,0.018525462597608566,0.12255104407668113,0.0,70,-1.859460461139679
2510,73.83333333333333,0,450,0.5052083333333334,1,0.2,0.0003,1.4424345202744007,-0.016147150542470713,0.008654952,0.15546202659606934,-0.02570047415792942,0.03901261445134878,0.0,80,-1.8542880773544312
2747,73.83333333333333,0,500,0.5052083333333334,1,0.2,0.0003,0.6749641175071398,-0.017589943231549297,-0.017925095,0.06980860233306885,0.12198098748922348,0.3887986093759537,0.031999999284744264,90,-1.8298233270645141
3003,73.83333333333333,0,550,0.5052083333333334,1,0.2,0.0003,0.6749641175071398,-0.012737813606392655,-0.020384915,0.1167612075805664,0.18038059771060944,0.47063541114330293,0.05799999758601189,100,-1.8747738122940063
2955,74.625,0,600,0.49609375,1,0.2,0.0003,0.6749641175071398,-0.03861195037700238,0.0836646,0.20536452531814575,0.026735112071037292,0.2369142770767212,0.05599999725818634,110,-1.8390958189964295
3730,74.625,0,650,0.49609375,1,0.2,0.0003,1.077360502909869,0.007788613676093803,0.013277786,0.0888376235961914,0.6446060538291931,2.461855387687683,0.0,120,-1.7626981258392334
4216,74.625,0,700,0.49609375,1,0.2,0.0003,1.077360502909869,-0.004040841178138521,0.015515933,-0.11961328983306885,0.10558246821165085,0.38206179440021515,0.0,130,-1.7272026538848877
4397,82.33333333333333,0,750,0.4409722222222222,1,0.2,0.0003,1.077360502909869,-0.01582604744797571,0.003931329,0.09723222255706787,0.015358790755271912,0.10207102671265603,0.057999998331069946,140,-1.7301198244094849
4571,82.33333333333333,0,800,0.4409722222222222,1,0.2,0.0003,0.9655109283824762,-0.00995588149037303,0.0181176,0.10013145208358765,0.26595035195350647,1.1958671629428863,0.007999999821186066,150,-1.6853837728500367
5374,82.33333333333333,0,850,0.4409722222222222,1,0.2,0.0003,0.9655109283824762,-0.004676943990634186,-0.010960977,-0.03535127639770508,0.4084356129169464,1.741290992498398,0.0,160,-1.6331226348876953
4522,88.5,0,900,0.396875,1,0.2,0.0003,0.9655109283824762,-0.012903655317612107,0.011151548,0.007914066314697266,0.11057011783123016,0.9653786987066268,0.0,170,-1.5912290930747985
5837,88.5,0,950,0.396875,1,0.2,0.0003,-0.7850832216441631,-0.017215230854228204,0.020900676,0.0094987154006958,0.40644538402557373,0.9025712788105011,0.07799999713897705,180,-1.5539401292800903
4807,88.5,0,1000,0.396875,1,0.2,0.0003,-0.7850832216441631,-0.019362888688222314,-0.016897323,0.026206493377685547,0.7850545644760132,2.2804643392562864,0.0,190,-1.4842841386795045
6564,93.54545454545455,0,1050,0.36079545454545453,1,0.2,0.0003,-0.7850832216441631,-0.02718730281107149,0.07281879,0.08575940132141113,0.011150963604450226,0.11333784088492393,0.06400000005960464,200,-1.3833122849464417
6250,93.54545454545455,0,1100,0.36079545454545453,1,0.2,0.0003,-1.8836517445743084,-0.017352917090058283,0.009901259,0.013721644878387451,0.9177228808403015,2.225236749649048,0.005999999865889549,210,-1.2606637477874756
6629,93.54545454545455,0,1150,0.36079545454545453,1,0.2,0.0003,-1.8836517445743084,-0.012080249749589721,-0.008819909,0.07883113622665405,0.15557996928691864,0.423370298743248,0.005999999865889549,220,-1.2207265734672545
7229,97.75,0,1200,0.3307291666666667,1,0.2,0.0003,-1.8836517445743084,-0.008408813086338363,0.02278816,0.02740722894668579,0.32491806149482727,0.9460358917713165,0.007999999821186066,230,-1.2399422764778136
