mean\gen\time/iterations,mean\disc\disc_acc_expert,mean\disc\global_step,mean\disc\disc_proportion_expert_pred,mean\gen\rollout/ep_len_mean,mean\disc\disc_acc,mean\disc\n_expert,mean\gen\time/total_timesteps,mean\gen\train/value_loss,mean\disc\disc_proportion_expert_true,mean\disc\n_generated,mean\gen\train/clip_fraction,mean\gen\train/entropy_loss,mean\gen\train/n_updates,mean\gen\train/learning_rate,mean\gen\train/loss,mean\gen\train/policy_gradient_loss,mean\disc\disc_acc_gen,mean\gen\time/time_elapsed,mean\gen\train/approx_kl,mean\disc\disc_loss,mean\gen\train/clip_range,mean\gen\train/explained_variance,mean\gen\rollout/ep_rew_mean,mean\disc\disc_entropy,mean\gen\time/fps
1.0,1.0,1.0,0.9921875,19.568627450980394,0.5078125,32.0,1000.0,0.6483343913219869,0.5,32.0,0.13980468772351742,-0.6843901883810759,10.0,0.0003,0.09005451202392578,-0.012998734008760948,0.015625,4.0,0.01319802924990654,0.6954601407051086,0.2,-0.4320192337036133,19.568627450980394,-2.393533229827881,221.0
1.0,1.0,2.0,1.0,18.21,0.5,32.0,2000.0,0.18596954508684577,0.5,32.0,0.2847460938850418,-0.6355408262461424,20.0,0.0003,0.035141684114933014,-0.031639462352904955,0.0,3.0,0.019280321896076202,0.6970656216144562,0.2,0.29902201890945435,18.21,-2.0160528421401978,518.0
1.0,1.0,3.0,0.9765625,14.58,0.5234375,32.0,3000.0,0.09784295891877264,0.5,32.0,0.44046875052154066,-0.4993382278829813,30.0,0.0003,0.01798459142446518,-0.05476619836408645,0.046875,3.0,0.04739765450358391,0.6909213364124298,0.2,0.7435317039489746,14.58,-1.756918489933014,804.0
1.0,1.0,4.0,0.9453125,11.89,0.5546875,32.0,4000.0,0.04115587038686499,0.5,32.0,0.22166015685070306,-0.29306446611881254,40.0,0.0003,-0.03176324814558029,-0.050877400615718216,0.109375,4.0,0.10648868978023529,0.6849802434444427,0.2,0.8435264229774475,11.89,-1.4049421548843384,951.0
1.0,1.0,5.0,0.859375,9.72,0.640625,32.0,5000.0,0.016646952644805424,0.5,32.0,0.0718554688268341,-0.13414801764301956,50.0,0.0003,-0.004855596460402012,-0.030567263535340318,0.28125,3.0,0.05289353057742119,0.6792168617248535,0.2,0.8937311768531799,9.72,-1.126810908317566,1386.0
1.0,1.0,6.0,0.765625,9.04,0.734375,32.0,6000.0,0.006262559512106236,0.5,32.0,0.03298828130355105,-0.057703530217986555,60.0,0.0003,0.004678401164710522,-0.0136983920372586,0.46875,3.0,0.00893078837543726,0.6743187010288239,0.2,0.9561022482812405,9.04,-0.9127539396286011,1636.0
1.0,1.0,7.0,0.7421875,8.73,0.7578125,32.0,7000.0,0.004741527406440582,0.5,32.0,0.015546875004656614,-0.043033753643976526,70.0,0.0003,0.0012075756676495075,-0.005206951817626759,0.515625,3.0,0.004205695819109678,0.6690260469913483,0.2,0.9713154155761003,8.73,-0.7824757397174835,1810.0
1.0,1.0,8.0,0.7109375,8.87,0.7890625,32.0,8000.0,0.004819860331190284,0.5,32.0,0.009218750009313225,-0.04001357804518193,80.0,0.0003,0.000954266230110079,-0.004660638809946249,0.578125,3.0,0.0017089140601456165,0.6659148335456848,0.2,0.9722342230379581,8.87,-0.7452692985534668,2018.0
