raw\disc\disc_proportion_expert_true,raw\disc\n_expert,raw\disc\n_generated,raw\disc\disc_loss,raw\disc\disc_acc_gen,raw\disc\global_step,raw\disc\disc_acc,raw\disc\disc_proportion_expert_pred,raw\disc\disc_acc_expert
0.5,60.0,60.0,0.711711049079895,0.0,1,0.5,1.0,1.0
0.5,60.0,60.0,0.6948573589324951,0.0,2,0.5,1.0,1.0
0.5,60.0,60.0,0.6881227493286133,0.0,3,0.5,1.0,1.0
0.5,60.0,60.0,0.6768267154693604,0.0,4,0.5,1.0,1.0
0.5,60.0,60.0,0.6793671250343323,0.0,5,0.5,1.0,1.0
0.5,60.0,60.0,0.6710678339004517,0.0,6,0.5,1.0,1.0
0.5,60.0,60.0,0.6574452519416809,0.0,7,0.5,1.0,1.0
0.5,60.0,60.0,0.6491090655326843,0.30000001192092896,8,0.6500000357627869,0.85,1.0
0.5,60.0,60.0,0.6396806240081787,0.6500000357627869,9,0.8250000476837158,0.675,1.0
0.5,60.0,60.0,0.6157881021499634,0.7166666984558105,10,0.8583333492279053,0.6416666666666667,1.0
0.5,60.0,60.0,0.6265251636505127,0.550000011920929,11,0.7750000357627869,0.725,1.0
0.5,60.0,60.0,0.6147052645683289,0.6666666865348816,12,0.8333333730697632,0.6666666666666666,1.0
0.5,60.0,60.0,0.6248010396957397,0.28333336114883423,13,0.6416667103767395,0.8583333333333333,1.0
0.5,60.0,60.0,0.616428017616272,0.4833333492279053,14,0.7416667342185974,0.7583333333333333,1.0
0.5,60.0,60.0,0.5929595828056335,0.7000000476837158,15,0.8500000238418579,0.65,1.0
0.5,60.0,60.0,0.6238024234771729,0.46666669845581055,16,0.7333333492279053,0.7666666666666667,1.0
0.5,60.0,60.0,0.5785019993782043,0.9000000357627869,17,0.9333333969116211,0.5333333333333333,0.9666666984558105
0.5,60.0,60.0,0.5825299024581909,0.8333333730697632,18,0.8250000476837158,0.49166666666666664,0.8166667222976685
0.5,60.0,60.0,0.584504246711731,0.8500000238418579,19,0.7916666865348816,0.44166666666666665,0.7333333492279053
0.5,60.0,60.0,0.6177442073822021,0.6166666746139526,20,0.7000000476837158,0.5833333333333334,0.7833333611488342
0.5,60.0,60.0,0.6102079153060913,0.4333333671092987,21,0.7166666984558105,0.7833333333333333,1.0
0.5,60.0,60.0,0.559610903263092,0.6500000357627869,22,0.8250000476837158,0.675,1.0
0.5,60.0,60.0,0.6074938774108887,0.4166666865348816,23,0.7083333730697632,0.7916666666666666,1.0
0.5,60.0,60.0,0.5370644330978394,0.7500000596046448,24,0.8166667222976685,0.5666666666666667,0.8833333849906921
0.5,60.0,60.0,0.5000414252281189,0.8833333849906921,25,0.9083333611488342,0.525,0.9333333969116211
0.5,60.0,60.0,0.6560792922973633,0.45000001788139343,26,0.6250000596046448,0.675,0.8000000715255737
0.5,60.0,60.0,0.6037922501564026,0.5333333611488342,27,0.7166666984558105,0.6833333333333333,0.9000000357627869
0.5,60.0,60.0,0.6083391308784485,0.5666667222976685,28,0.7000000476837158,0.6333333333333333,0.8333333730697632
0.5,60.0,60.0,0.6024503111839294,0.6166666746139526,29,0.7333333492279053,0.6166666666666667,0.8500000238418579
0.5,60.0,60.0,0.6477985382080078,0.4833333492279053,30,0.5833333730697632,0.6,0.6833333969116211
0.5,60.0,60.0,0.6356939077377319,0.6500000357627869,31,0.6250000596046448,0.475,0.6000000238418579
0.5,60.0,60.0,0.5837779641151428,0.6000000238418579,32,0.6416667103767395,0.5416666666666666,0.6833333969116211
0.5,60.0,60.0,0.5305460095405579,0.7833333611488342,33,0.8083333969116211,0.525,0.8333333730697632
0.5,60.0,60.0,0.5055611729621887,0.8333333730697632,34,0.8166667222976685,0.48333333333333334,0.8000000715255737
0.5,60.0,60.0,0.5765124559402466,0.5666667222976685,35,0.7250000238418579,0.6583333333333333,0.8833333849906921
0.5,60.0,60.0,0.6346526145935059,0.4833333492279053,36,0.675000011920929,0.6916666666666667,0.8666667342185974
0.5,60.0,60.0,0.6176386475563049,0.46666669845581055,37,0.6666666865348816,0.7,0.8666667342185974
0.5,60.0,60.0,0.6075543165206909,0.40000003576278687,38,0.6333333849906921,0.7333333333333333,0.8666667342185974
0.5,60.0,60.0,0.7110081315040588,0.2666666805744171,39,0.5166667103767395,0.75,0.7666667103767395
0.5,60.0,60.0,0.6022163033485413,0.45000001788139343,40,0.6500000357627869,0.7,0.8500000238418579
0.5,60.0,60.0,0.6005702018737793,0.5,41,0.6250000596046448,0.625,0.7500000596046448
0.5,60.0,60.0,0.6752042770385742,0.23333334922790527,42,0.40000003576278687,0.6666666666666666,0.5666667222976685
0.5,60.0,60.0,0.6657127141952515,0.5166667103767395,43,0.5416666865348816,0.525,0.5666667222976685
0.5,60.0,60.0,0.6779367923736572,0.30000001192092896,44,0.44166669249534607,0.6416666666666667,0.5833333730697632
0.5,60.0,60.0,0.6132374405860901,0.7000000476837158,45,0.7166666984558105,0.5166666666666667,0.7333333492279053
0.5,60.0,60.0,0.6074594259262085,0.46666669845581055,46,0.675000011920929,0.7083333333333334,0.8833333849906921
0.5,60.0,60.0,0.5847399234771729,0.8000000715255737,47,0.7666667103767395,0.4666666666666667,0.7333333492279053
0.5,60.0,60.0,0.6552837491035461,0.21666668355464935,48,0.5583333373069763,0.8416666666666667,0.9000000357627869
0.5,60.0,60.0,0.5308479070663452,0.5666667222976685,49,0.7083333730697632,0.6416666666666667,0.8500000238418579
0.5,60.0,60.0,0.6187426447868347,0.20000001788139343,50,0.5416666865348816,0.8416666666666667,0.8833333849906921
0.5,60.0,60.0,0.63120037317276,0.2666666805744171,51,0.5666667222976685,0.8,0.8666667342185974
0.5,60.0,60.0,0.6891838908195496,0.10000000894069672,52,0.46666669845581055,0.8666666666666667,0.8333333730697632
0.5,60.0,60.0,0.6377114653587341,0.25,53,0.5750000476837158,0.825,0.9000000357627869
0.5,60.0,60.0,0.6744130849838257,0.6500000357627869,54,0.6500000357627869,0.5,0.6500000357627869
0.5,60.0,60.0,0.6022351980209351,1.0,55,0.7833333611488342,0.2833333333333333,0.5666667222976685
0.5,60.0,60.0,0.5892990231513977,1.0,56,0.5833333730697632,0.08333333333333333,0.1666666716337204
0.5,60.0,60.0,0.6411731839179993,1.0,57,0.7083333730697632,0.20833333333333334,0.4166666865348816
0.5,60.0,60.0,0.6576456427574158,0.31666669249534607,58,0.5916666984558105,0.775,0.8666667342185974
0.5,60.0,60.0,0.639742374420166,0.28333336114883423,59,0.5833333730697632,0.8,0.8833333849906921
0.5,60.0,60.0,0.6912979483604431,0.03333333507180214,60,0.5166667103767395,0.9833333333333333,1.0
0.5,60.0,60.0,0.6318921446800232,0.1666666716337204,61,0.5833333730697632,0.9166666666666666,1.0
0.5,60.0,60.0,0.6278560161590576,0.15000000596046448,62,0.5750000476837158,0.925,1.0
0.5,60.0,60.0,0.6226181387901306,0.6166666746139526,63,0.7333333492279053,0.6166666666666667,0.8500000238418579
0.5,60.0,60.0,0.6388707160949707,0.4333333671092987,64,0.5666667222976685,0.6333333333333333,0.7000000476837158
